a	eɪ
piuijasimmuneul	p ɪ j uː ɪ dʒ ɐ s ɪ m ə n j uː l
piuijawa	p ɪ j uː ɪ dʒ ɑː w ə
piumyeon	p ɪ ə m j əʊ n
piuneun	p ɪ ə n j uː n
piwotda	p iː w ɒ t d ə
pobaek	p əʊ b iː k
pochakdoegido	p ɒ tʃ ɐ k d əʊ dʒ iː d əʊ
pochakdoego	p ɒ tʃ ɐ k d əʊ ɡ əʊ
pocheoni	p ɒ tʃ ə n i
podae	p ɒ d iː
podaeui	p ɒ d iː j uː i
pogeone	p əʊ dʒ ə n
pogi	p əʊ ɡ ɪ
pogihaetda	p ɒ dʒ ɪ h iː t d ə
pogihagido	p ɒ dʒ ɪ h ɐ dʒ iː d əʊ
pogihago	p ɒ dʒ ɪ h eɪ ɡ əʊ
pogihaji	p ɒ dʒ ɪ h a dʒ i
pogihan	p ɒ dʒ ɪ h a n
pogihasin	p ɒ dʒ ɪ h a s ɪ n
poguga	p ə ɡ uː ɡ ə
pogwalhaneun	p ɒ ɡ w ɒ l h a n j uː n
pogwaljeogeuro	p ɒ ɡ w ɒ l dʒ ɪ əʊ dʒ j uː ɹ əʊ
pogwarimgeumjeneun	p ɒ ɡ w eə ɹ ɪ m dʒ j uː m dʒ ɛ n j uː n
pogyeomeuro	p ɒ dʒ ɪ ɪ əʊ m j uː ɹ əʊ
poham	p əʊ h ə m
pohamdoeeo	p əʊ h a m d əʊ eɪ əʊ
pohamdoeji	p əʊ h a m d əʊ dʒ i
pohamdoelji	p əʊ h a m d əʊ l dʒ i
pohamdoen	p əʊ h a m d əʊ n
pohamdwae	p əʊ h a m d w iː
pohamdwaetda	p əʊ h a m d w iː t d ə
pohamhae	p əʊ h ɐ m h iː
pohamhan	p əʊ h a m h ə n
pohamsikinda	p əʊ h ɐ m z ɪ k ɪ n d ə
pohangsi	p əʊ h a ŋ s i
pohwasangtaee	p əʊ w ə s a ŋ t iː
pointeudo	p ɔɪ n t j uː d əʊ
pointeureul	p ɔɪ n t j uː ɹ uː l
pojangjaereul	p ɒ dʒ ɐ ŋ j eə ɹ uː l
pojeudisyobeuche	p əʊ dʒ j uː d ɪ s ɪ əʊ b ʌ tʃ
pojeuro	p əʊ dʒ j uː ɹ əʊ
pojin	p ɒ dʒ ɪ n
pok	p ɒ k
pokbal	p ɒ k b əl
pokbalhae	p ɒ k b ɐ l h iː
pokbalhaneun	p ɒ k b ɐ l h a n j uː n
pokbaljeogeuro	p ɒ k b ɐ l dʒ ɪ əʊ dʒ j uː ɹ əʊ
pokbalmul	p ɒ k b ɑː m ʌ l
pokbalro	p ə k b a l ɹ əʊ
pokdeunggi	p ɒ k d j uː ŋ ɡ ɪ
pokdeunghago	p ɒ k d j uː ŋ h eɪ ɡ əʊ
pokdongeuro	p ɒ k d ə n dʒ j uː ɹ əʊ
poketmon	p əʊ k t m ə n
pokeujireul	p əʊ k j uː dʒ aɪə ɹ ʌ l
pokgyeogeuro	p ɒ k dʒ j əʊ dʒ j uː ɹ əʊ
pokgyeogi	p ɒ k dʒ j əʊ ɡ ɪ
pokgyeokgibodaneun	p ɒ k dʒ j əʊ k dʒ ɪ b ə d a n j uː n
pokgyeokgideulro	p ɒ k dʒ j əʊ k dʒ aɪ d ʌ l ɹ əʊ
pokhaeng	p ɒ k h iː ŋ
pokhaengeul	p ɒ k h iː n dʒ j uː l
pokhaenghae	p ɒ k h iː ŋ h iː
pokhaenghaesseumyeo	p ɒ k h iː ŋ h iː s j uː m ɪ eɪ əʊ
pokhaengieotdamyeo	p ɒ k h iː ŋ ɡ ɪ ə t d a m ɪ eɪ əʊ
pokhaengsibie	p ɒ k h iː ŋ s ɪ b i
pokpungeul	p ɒ k p ə n dʒ j uː l
pokpungi	p ɒ k p ʌ ŋ ɡ i
pokpungina	p ɒ k p ə n dʒ iː n ə
pokrakhan	p ɒ k ɹ a k h ə n
pokryeoge	p ɒ k r j əʊ dʒ
pokryeogeul	p ɒ k r j əʊ dʒ j uː l
pokryeok	p ɒ k r j əʊ k
pokryeokhaengwicheobeolbeobeul	p ɒ k r j əʊ k h iː ŋ w ɪ tʃ ɪ əʊ b ə l b ɪ əʊ b ʌ l
pokryeokjeogin	p ɒ k r j əʊ k dʒ ɪ ɒ dʒ ɪ n
pokseubageni	p ɒ k s j uː b eɪ dʒ n i
pokseukoneul	p ɒ k s j uː k əʊ n ʌ l
pokseunyuseuga	p ɒ k s j uː n j uː s j uː ɡ ə
poktan	p ɒ k t ə n
pol	p ɒ l
polrandeu	p ɒ l ɹ ɐ n d j uː
polriseuraineul	p ɒ l ɹ aɪ s j uː ɹ eɪ n j uː l
pomal	p əʊ m əl
pomare	p ɒ m eə
pomareul	p ɒ m eə ɹ ʌ l
pon	p ɒ n
ponpeie	p ɒ n p eɪ
popyulrijeume	p ɒ p ɪ ʌ l ɹ aɪ dʒ j uː m
poreuno	p ɔː ɹ uː n əʊ
porodeureul	p ɔː ɹ əʊ d j uː ɹ uː l
pororo	p ɔː ɹ ɔː ɹ əʊ
posangeul	p ɒ s ɐ n dʒ j uː l
poseogieotjiman	p əʊ s əʊ dʒ ɪ ə t dʒ ɪ m ə n
poseophae	p əʊ s ə f iː
poseuteo	p əʊ s j uː t eɪ əʊ
poseuteoneun	p əʊ s j uː t ɪ əʊ n ʌ n
poseuteuise	p əʊ s j uː t j uː aɪ z
posijeunseuhotel	p ɒ s aɪ dʒ ʌ n s j uː h əʊ t ɛ l
potan	p ɒ t ə n
potareul	p ɒ t eə ɹ ʌ l
poteusaideuro	p əʊ t j uː s ɪ d j uː ɹ əʊ
ppaeasa	p iː p iː ɑː s ə
ppaeasatda	p iː p iː ɐ s a t d ə
ppaeatgin	p iː p iː ɐ t dʒ ɪ n
ppaeatgyeosseotda	p iː p iː ɐ t dʒ j əʊ s ɪ ɒ t d ə
ppaedolrigo	p iː p iː d ə l ɹ ɪ ɡ əʊ
ppaego	p iː p iː ɡ əʊ
ppaegoneun	p iː p iː ɡ ə n j uː n
ppaemyeon	p iː p iː m j əʊ n
ppaenael	p iː p iː n eɪ l
ppaenda	p iː p iː n d ə
ppaengsoni	p iː p iː ŋ s əʊ n i
ppaetgyeotda	p iː p iː t dʒ j əʊ t d ə
ppaetgyeotdago	p iː p iː t dʒ j əʊ t d eɪ ɡ əʊ
ppajigo	p iː p a dʒ ɪ ɡ əʊ
ppajiji	p iː p a dʒ ɪ dʒ i
ppajimeopsi	p iː p a dʒ aɪ m ɒ p s i
ppajin	p iː p a dʒ ɪ n
ppajyeo	p iː p a dʒ ɪ eɪ əʊ
ppajyeodo	p iː p a dʒ j əʊ d əʊ
ppajyeonagage	p iː p a dʒ j əʊ n a ɡ ɪ dʒ
ppajyeonagaji	p iː p a dʒ j əʊ n a ɡ a dʒ i
ppajyeonagamyeon	p iː p a dʒ j əʊ n a ɡ ɐ m j əʊ n
ppajyeonagan	p iː p a dʒ j əʊ n a ɡ ə n
ppajyeonaon	p iː p a dʒ j əʊ n eɪ ɒ n
ppajyeosseul	p iː p a dʒ j əʊ s j uː l
ppajyeotda	p iː p a dʒ j əʊ t d ə
ppalchisan	p iː p a l tʃ ɪ s ə n
ppalgaejipnida	p iː p a l ɡ iː dʒ ɪ p n ɪ d ə
ppalgaengiraneun	p iː p a l ɡ iː ŋ ɡ ɜː ɹ ɐ n j uː n
ppalrajigo	p iː p a l ɹ ɐ dʒ ɪ ɡ əʊ
ppalrajyeotda	p iː p a l ɹ ɐ dʒ j əʊ t d ə
ppalratseupnida	p iː p a l ɹ ɐ t s j uː p n ɪ d ə
ppalri	p iː p a l ɹ i
ppang	p iː p a ŋ
ppareuge	p iː p eə j uː dʒ
ppareun	p iː p eə ɹ ʌ n
ppeodeo	p iː p ɪ əʊ d ɪ əʊ
ppeodeotdaneun	p iː p ɪ əʊ d ə t d a n j uː n
ppeon	p iː p iə n
ppeonhaesseoyo	p iː p iə n h iː s ɪ ɔɪ əʊ
ppeonhaetda	p iː p iə n h iː t d ə
ppeonhan	p iː p iə n h ə n
ppeonppeonhage	p iː p iə n p ɪ ɒ n h ɪ dʒ
ppeori	p iː p ɪ ɔː ɹ i
ppikkeuthaeseo	p iː p ɪ k j uː θ iː s eɪ əʊ
ppobeulji	p iː p əʊ b ʌ l dʒ i
ppopgoja	p iː p ə p ɡ əʊ dʒ ə
ppopneunda	p iː p ɒ p n j uː n d ə
ppororo	p iː p ɔː ɹ ɔː ɹ əʊ
ppun	p iː p ʌ n
ppunida	p iː p j uː n ɪ d ə
ppunidarago	p iː p j uː n ɪ d ɐ ɹ eɪ ɡ əʊ
ppunieotda	p iː p j uː n ɪ ɒ t d ə
ppunieotdago	p iː p j uː n ɪ ə t d eɪ ɡ əʊ
ppunipnida	p iː p j uː n ɪ p n ɪ d ə
ppunirago	p iː p j uː n ə ɹ eɪ ɡ əʊ
ppuniraneunde	p iː p j uː n ə ɹ a n j uː n d
ppuniyaraneun	p iː p j uː n ɪ j a ɹ ə n ʌ n
ppunman	p iː p ʌ n m ə n
ppurigipeun	p iː p j ʊə ɹ ɪ dʒ aɪ p ʌ n
ppurigo	p iː p j ʊə ɹ ɪ ɡ əʊ
ppurimyeon	p iː p j ʊə ɹ ɪ m j əʊ n
ppurin	p iː p j ʊə ɹ ɪ n
ppurireul	p iː p j ʊə ɹ aɪə ɹ ʌ l
ppuryeojuseyo	p iː p ʌ r j əʊ dʒ uː s aɪ əʊ
ppuryeoseo	p iː p ʌ r j əʊ s eɪ əʊ
ppyeo	p iː p aɪ ɪ əʊ
ppyeoe	p iː p aɪ ɪ əʊ
ppyeoga	p iː p j əʊ ɡ ə
ppyeoreul	p iː p j əʊ ɹ uː l
pudeu	p j uː d j uː
puereutorikoe	p j uː ɹ uː t ɔː ɹ ɪ k əʊ
puiwa	p j uː ɪ w ə
puk	p ʌ k
pul	p ʌ l
pulbateul	p ʌ l b ɐ t j uː l
pulgo	p ʌ l ɡ əʊ
pulrigo	p ʌ l ɹ ɪ ɡ əʊ
pulril	p ʌ l ɹ əl
pulrilgeoda	p ʌ l ɹ ɪ l dʒ ɪ ɒ d ə
pulryeo	p ʌ l ɹ ɪ eɪ əʊ
pulryeona	p ʌ l r j əʊ n ə
pulryeonatda	p ʌ l r j əʊ n a t d ə
pumeun	p j uː m j uː n
pumgwi	p ʌ m ɡ w i
pumjeoldoen	p ʌ m dʒ ɪ əʊ l d əʊ n
pumjil	p ʌ m dʒ ɪ l
pumjireul	p ʌ m dʒ aɪə ɹ ʌ l
pumjonge	p ʌ m dʒ ɒ n dʒ
pummok	p ʌ m ɒ k
pun	p ʌ n
pundo	p ʌ n d əʊ
pungbibaksan	p ʌ ŋ b ɪ b a k s ə n
pungbuhan	p ʌ ŋ b j uː h a n
pungdengineun	p ʌ ŋ d ə n dʒ ɪ n j uː n
pungginda	p ʌ ŋ dʒ ɪ n d ə
punggyeongieotseupnida	p ʌ ŋ dʒ j əʊ ŋ ɡ ɪ ə t s j uː p n ɪ d ə
punggyeriildaeeseo	p ʌ ŋ dʒ ɪ iə ɹ i ɪ l d iː ɪ s eɪ əʊ
pungjahan	p ʌ ŋ dʒ ɐ h a n
pungmuneul	p ʌ ŋ m ə n j uː l
pungsogeun	p ʌ ŋ s əʊ dʒ ʌ n
pureotdaga	p j ʊə ɹ ɪ ə t d ɑː ɡ ə
pureoya	p j ʊə ɹ ɪ ɔɪ ə
pureul	p j ʊə ɹ uː l
pureunbicheul	p j ʊə ɹ uː n b ɪ tʃ j uː l
purida	p j ʊə ɹ ɪ d ə
puridoenda	p j ʊə ɹ ɪ d əʊ n d ə
purihamyeo	p j ʊə ɹ ɪ h a m ɪ eɪ əʊ
puya	p uː j ə
pyeeobe	p aɪ iː əʊ b
pyeeop	p aɪ iː ə p
pyeeopgwa	p aɪ iː ɒ p ɡ w ə
pyegidoenda	p aɪ ɪ dʒ ɪ d əʊ n d ə
pyegihaeya	p aɪ ɪ dʒ ɪ h iː j ə
pyegimul	p aɪ ɪ dʒ ɪ m ʌ l
pyehaereul	p aɪ ɪ h eə ɹ uː l
pyejidoeji	p aɪ ɪ dʒ ɪ d əʊ dʒ i
pyejidoel	p aɪ ɪ dʒ ɪ d əʊ l
pyejidoemyeonseo	p aɪ ɪ dʒ ɪ d əʊ m j əʊ n s eɪ əʊ
pyejineun	p aɪ ɪ dʒ aɪ n ʌ n
pyeoji	p j əʊ dʒ i
pyeolchigido	p j əʊ l tʃ ɪ dʒ iː d əʊ
pyeolchil	p j əʊ l tʃ ɪ l
pyeolchyeo	p j əʊ l tʃ ɪ eɪ əʊ
pyeolchyeojil	p j əʊ l tʃ j əʊ dʒ ɪ l
pyeolchyeojin	p j əʊ l tʃ j əʊ dʒ ɪ n
pyeolchyeonoko	p j əʊ l tʃ j əʊ n əʊ k əʊ
pyeomha	p j əʊ m h ə
pyeon	p j əʊ n
pyeonaen	p j əʊ n iː n
pyeonanhan	p j əʊ n a n h ə n
pyeonbeop	p j əʊ n b ɪ ə p
pyeonchaga	p j əʊ n tʃ ɑː ɡ ə
pyeondoseon	p j əʊ n d əʊ s ɪ ə n
pyeoneun	p j əʊ n j uː n
pyeongchanghyugeso	p j əʊ ŋ tʃ ɐ ŋ h j uː dʒ iː s əʊ
pyeongchangnadeulmok	p j əʊ ŋ tʃ ɐ ŋ n a d j uː l m ɒ k
pyeongdang	p j əʊ ŋ d a ŋ
pyeongdeunghaejigo	p j əʊ ŋ d j uː ŋ h iː dʒ ɪ ɡ əʊ
pyeongga	p j əʊ ŋ ɡ ə
pyeonggabatgo	p j əʊ ŋ ɡ ɐ b a t ɡ əʊ
pyeonggada	p j əʊ ŋ ɡ ɑː d ə
pyeonggadwaetda	p j əʊ ŋ ɡ ɐ d w iː t d ə
pyeonggae	p j əʊ ŋ ɡ iː
pyeonggaga	p j əʊ ŋ ɡ ɑː ɡ ə
pyeonggahae	p j əʊ ŋ ɡ ɐ h iː
pyeonggahaetda	p j əʊ ŋ ɡ ɐ h iː t d ə
pyeonggahan	p j əʊ ŋ ɡ ɐ h a n
pyeonggahaneun	p j əʊ ŋ ɡ ɐ h a n j uː n
pyeonggaja	p j əʊ ŋ ɡ ɑː dʒ ə
pyeonggareul	p j əʊ ŋ ɡ eə ɹ ʌ l
pyeonggawa	p j əʊ ŋ ɡ ɑː w ə
pyeonggyun	p j əʊ ŋ dʒ ɪ ʌ n
pyeonggyungioneun	p j əʊ ŋ dʒ j uː ŋ ɡ ə n j uː n
pyeonggyunjeogeuro	p j əʊ ŋ dʒ j uː n dʒ ɪ əʊ dʒ j uː ɹ əʊ
pyeonggyunsokdo	p j əʊ ŋ dʒ j uː n s ɒ k d əʊ
pyeonggyunsumyeongin	p j əʊ ŋ dʒ j uː n s ʌ m j əʊ ŋ ɡ ɪ n
pyeonghaengbonge	p j əʊ ŋ h iː ŋ b ɒ n dʒ
pyeonghwagudoreul	p j əʊ ŋ h w ɐ ɡ j uː d ɔː ɹ uː l
pyeonghwahyeopjeongeuro	p j əʊ ŋ h w ɐ h j əʊ p dʒ ɪ ə n dʒ j uː ɹ əʊ
pyeonghwareul	p j əʊ ŋ h w eə ɹ ʌ l
pyeonghwasiwiui	p j əʊ ŋ h w ə s ɪ w ɪ j uː i
pyeonghwawa	p j əʊ ŋ h w ɑː w ə
pyeongi	p j əʊ ŋ ɡ i
pyeongirindeyo	p j əʊ ŋ ɡ ɪ ɹ ɪ n d aɪ əʊ
pyeongmindeul	p j əʊ ŋ m aɪ n d j uː l
pyeongpyeonghan	p j əʊ ŋ p j əʊ ŋ h ə n
pyeongsaenggyoyugwoneseo	p j əʊ ŋ s iː ŋ dʒ ɪ ɔɪ ə ɡ w ʌ n ɪ s eɪ əʊ
pyeongso	p j əʊ ŋ s əʊ
pyeongsureul	p j əʊ ŋ s ə ɹ uː l
pyeongtaek	p j əʊ ŋ t iː k
pyeongyang	p j əʊ ŋ j a ŋ
pyeongyange	p j əʊ ŋ j a ŋ
pyeongyangeseo	p j əʊ ŋ j a ŋ ɪ s eɪ əʊ
pyeongyangeul	p j əʊ ŋ j a ŋ j uː l
pyeongyangui	p j əʊ ŋ j a ŋ w i
pyeongyeon	p j əʊ ŋ j əʊ n
pyeongyeoneul	p j əʊ ŋ j əʊ n j uː l
pyeonhaetda	p j əʊ n h iː t d ə
pyeonhage	p j əʊ n h ɪ dʒ
pyeonhyangjeogeuro	p j əʊ n h j a ŋ dʒ ɪ əʊ dʒ j uː ɹ əʊ
pyeonibeul	p j əʊ n aɪ b ʌ l
pyeonibeuro	p j əʊ n aɪ b j uː ɹ əʊ
pyeonida	p j əʊ n ɪ d ə
pyeonjebangsikgwa	p j əʊ n dʒ ɪ b a ŋ s ɪ k ɡ w ə
pyeonjieseo	p j əʊ n dʒ ɪ s eɪ əʊ
pyeonjipjaju	p j əʊ n dʒ ɪ p dʒ ɑː dʒ uː
pyeonjireul	p j əʊ n dʒ aɪə ɹ ʌ l
pyeonriham	p j əʊ n ɹ ɪ h ə m
pyeonrihan	p j əʊ n ɹ ɪ h a n
pyeonseong	p j əʊ n s ɪ ɒ ŋ
pyeonseonghae	p j əʊ n s ɪ ɒ ŋ h iː
pyeonseonghagi	p j əʊ n s ɪ ə ŋ h ɑː ɡ ɪ
pyeonssik	p j əʊ n s ɪ k
pyeonuijeom	p j əʊ n j uː aɪ dʒ ə m
pyeonuijeomeseo	p j əʊ n j uː aɪ dʒ əʊ m s eɪ əʊ
pyeonuijeomi	p j əʊ n j uː aɪ dʒ əʊ m i
pyerojageobeul	p aɪ ə ɹ ɒ dʒ eɪ dʒ əʊ b ʌ l
pyesu	p aɪ ɛ s uː
pyeswaehaneun	p aɪ ɪ s w iː h ɐ n j uː n
pyeswaehyeong	p aɪ ɪ s w iː h j əʊ ŋ
pyeswaena	p aɪ ɪ s w iː n ə
pyeswaeseongeuro	p aɪ ɪ s w iː s ɪ ə n dʒ j uː ɹ əʊ
pyeswaesikil	p aɪ ɪ s w iː s ɪ k ɪ l
pyochang	p aɪ ə tʃ a ŋ
pyochangi	p aɪ ə tʃ a ŋ ɡ i
pyochulhan	p aɪ ə tʃ ʌ l h ə n
pyogidwae	p aɪ ə dʒ ɪ d w iː
pyogiham	p aɪ ə dʒ ɪ h ə m
pyogyeolmaneuro	p aɪ ə dʒ j əʊ l m ɐ n j uː ɹ əʊ
pyohaeya	p aɪ əʊ h iː j ə
pyohago	p aɪ əʊ h eɪ ɡ əʊ
pyohyeone	p aɪ əʊ j əʊ n
pyohyeoneul	p aɪ əʊ j əʊ n j uː l
pyohyeoneun	p aɪ əʊ j əʊ n j uː n
pyohyeonhaeya	p aɪ əʊ j əʊ n h iː j ə
pyohyeonhago	p aɪ əʊ j əʊ n h eɪ ɡ əʊ
pyohyeonhan	p aɪ əʊ j əʊ n h ə n
pyohyeonhaneun	p aɪ əʊ j əʊ n h ɐ n j uː n
pyohyeoni	p aɪ əʊ j əʊ n i
pyohyeonuijayuteukbyeorwiwonhoe	p aɪ əʊ j əʊ n j uː ɪ dʒ eɪ j uː t j uː k b j əʊ r w iː w ə n h əʊ
pyoje	p aɪ əʊ dʒ
pyojeogeuro	p aɪ əʊ dʒ əʊ dʒ j uː ɹ əʊ
pyojeongeul	p aɪ əʊ dʒ ɪ ɒ n dʒ j uː l
pyojeongeuro	p aɪ əʊ dʒ ɪ ə n dʒ j uː ɹ əʊ
pyojeongi	p aɪ əʊ dʒ ɪ ɒ ŋ ɡ i
pyojeongieotdamyeo	p aɪ əʊ dʒ ɪ ɒ ŋ ɡ ɪ ɒ t d ɐ m ɪ eɪ əʊ
pyoji	p aɪ əʊ dʒ i
pyojidaeneun	p aɪ ə dʒ ɪ d iː n j uː n
pyojipaneul	p aɪ ə dʒ ɪ p ɐ n j uː l
pyojireul	p aɪ ə dʒ aɪə ɹ ʌ l
pyojune	p aɪ ə dʒ uː n
pyojunhwadoen	p aɪ ə dʒ ʌ n h w ə d əʊ n
pyojunhwaraneun	p aɪ ə dʒ ʌ n h w ɔː ɹ ə n ʌ n
pyojunseaek	p aɪ ə dʒ ʌ n s iː ɛ k
pyomyeon	p aɪ ə m j əʊ n
pyomyeoneul	p aɪ ə m j əʊ n j uː l
pyomyeong	p aɪ ə m j əʊ ŋ
pyomyeongdoen	p aɪ ə m j əʊ ŋ d əʊ n
pyomyeonggwa	p aɪ ə m j əʊ ŋ ɡ w ə
pyomyeonghaetjiman	p aɪ ə m j əʊ ŋ h iː t dʒ ɪ m ə n
pyomyeonghagido	p aɪ ə m j əʊ ŋ h ɐ dʒ iː d əʊ
pyomyeonghan	p aɪ ə m j əʊ ŋ h ə n
pyomyeonjeogeuroneun	p aɪ ə m j əʊ n dʒ ɪ əʊ dʒ j uː ɹ əʊ n ʌ n
pyoreul	p aɪ ɔː ɹ uː l
pyosidoen	p aɪ ə s ɪ d əʊ n
pyosihago	p aɪ ə s ɪ h eɪ ɡ əʊ
pyosihapnida	p aɪ ə s ɪ h ɐ p n ɪ d ə
pyosipan	p aɪ ə s ɪ p a n
raba	ɹ ɑː b ə
rabereul	ɹ a b ə ɹ uː l
raempeu	ɹ iː m p j uː
raendeom	ɹ iː n d ɪ ə m
raenseomweeo	ɹ iː n s ɪ ɒ m w iː əʊ
raeri	ɹ ɑː ɹ i
rageurangjyupointeue	ɹ a dʒ j uː ɹ a ŋ dʒ j uː p ɔɪ n t j uː
rago	ɹ eɪ ɡ əʊ
raguadiagonghangeseodo	ɹ a ɡ j uː eɪ d ɪ a ɡ ɒ ŋ h a n dʒ ɪ s ɪ əʊ d əʊ
raguram	ɹ a ɡ j ʊə ɹ a m
raideuga	ɹ eɪ d j uː ɡ ə
raihihareuteudo	ɹ eɪ h ɪ h eə j uː t j uː d əʊ
raijing	ɹ eɪ dʒ ɪ ŋ
raikireul	ɹ eɪ k aɪə ɹ ʌ l
raimondireul	ɹ eɪ m ə n d aɪə ɹ ʌ l
rainigo	ɹ eɪ n ɪ ɡ əʊ
rainmada	ɹ eɪ n m ɑː d ə
raiteu	ɹ eɪ t j uː
rajan	ɹ ɑː dʒ ə n
ramaga	ɹ a m ɑː ɡ ə
rameneul	ɹ eɪ m n j uː l
ramyeo	ɹ a m ɪ eɪ əʊ
ramyeone	ɹ a m j əʊ n
ramyeoneuro	ɹ a m j əʊ n j uː ɹ əʊ
raneun	ɹ a n j uː n
raobaisingdeurui	ɹ eɪ ə b eɪ s ɪ ŋ d j uː ɹ uː i
raseuko	ɹ a z j uː k əʊ
raundeuseo	ɹ ɔː n d j uː s eɪ əʊ
raureul	ɹ ɔː ɹ uː l
rebeoreul	ɹ ɪ b ɪ ɔː ɹ uː l
rebereseo	ɹ ɪ b ɜː ɹ ɪ s eɪ əʊ
redeupaeseuwa	ɹ ɪ d j uː p iː s j uː w ə
reichereun	ɹ aɪ x ə ɹ uː n
reideoeseo	ɹ iː ɪ d ɪ əʊ s eɪ əʊ
reideoui	ɹ iː ɪ d ɪ uː i
reimdeok	ɹ iː ɪ m d ɪ ɒ k
reireul	ɹ iː aɪə ɹ ʌ l
reiteukebui	ɹ iː aɪ t j uː k ɛ b j uː i
rejepeu	ɹ ɪ dʒ ɛ p j uː
rejeulri	ɹ ɪ dʒ j uː l ɹ i
renchi	ɹ ɛ n tʃ aɪ
renchiga	ɹ ɛ n tʃ ɪ ɡ ə
renjeudo	ɹ ɛ n dʒ j uː d əʊ
rentalpon	ɹ ɛ n t ɐ l p ɒ n
renteoka	ɹ ɛ n t ɪ əʊ k ə
renteolgyeyak	ɹ ɛ n t ɪ ɒ l dʒ ɪ aɪ a k
reobeuraineul	ɹ ɪ əʊ b j uː ɹ eɪ n j uː l
reoksyeori	ɹ ɪ ɒ k s j əʊ ɹ i
reondeon	ɹ ɪ ɒ n d ɪ ə n
reondeonui	ɹ ɪ ɒ n d ɪ ɒ n j uː i
reondeuroideue	ɹ ɪ ɒ n d j uː ɹ ɔɪ d j uː
reosia	ɹ ɪ əʊ z iə
reosianeun	ɹ ɪ əʊ s iə n j uː n
resipee	ɹ ɪ s ɪ p iː
retina	ɹ ɛ t ɪ n ə
reul	ɹ uː l
reumoneun	ɹ uː m əʊ n ʌ n
ribeiteu	ɹ aɪ b aɪ t uː
ribenji	ɹ aɪ b ə n dʒ i
ribondeuldo	ɹ ɪ b ə n d j uː l d əʊ
rideumdo	ɹ aɪ d ʌ m d əʊ
rieolmiteoui	ɹ iː ə l m aɪ t uː i
rieonegedo	ɹ iː əʊ n dʒ iː d əʊ
riga	ɹ iː ɡ ə
rikol	ɹ ɪ k ɒ l
rimeonbeuradeoseu	ɹ aɪ m ə n b j uː ɹ eɪ d əʊ s uː
rimeseuyeotneunjireul	ɹ aɪ m s j uː j əʊ t n j uː n dʒ aɪə ɹ ʌ l
rimodelring	ɹ ɪ m ə d ɛ l ɹ ɪ ŋ
rimpeugyeroseo	ɹ ɪ m p j uː dʒ ɪ ə ɹ əʊ s ɪ əʊ
rimpeurago	ɹ ɪ m p j uː ɹ eɪ ɡ əʊ
rindawa	ɹ aɪ n d ɑː w ə
ringgen	ɹ ɪ ŋ dʒ ə n
ripoteu	ɹ ɪ p əʊ t uː
riseochisenteojangeun	ɹ aɪ s ə tʃ ɪ s ə n t ɪ ɒ dʒ ɐ n dʒ j uː n
riseukeu	ɹ aɪ s j uː k j uː
riseukeuro	ɹ aɪ s j uː k j uː ɹ əʊ
riseuteu	ɹ aɪ s j uː t j uː
riseuteureul	ɹ aɪ s j uː t j uː ɹ uː l
riseuteuui	ɹ aɪ s j uː t j uː j uː i
risin	ɹ ɪ s ɪ n
risini	ɹ ɪ s iː n ɪ
riteodang	ɹ aɪ t ə d a ŋ
riteossik	ɹ aɪ t ə s ɪ k
rityum	ɹ ɪ t ɪ ə m
ro	ɹ əʊ
robateu	ɹ əʊ b ɐ t j uː
robeudareun	ɹ əʊ b j uː d eə ɹ ʌ n
robi	ɹ əʊ b aɪ
robiryeogi	ɹ ɒ b ə j əʊ ɡ ɪ
robosui	ɹ əʊ b ə s uː i
roideuriseuteu	ɹ ɔɪ d j uː ɹ aɪ s j uː t j uː
roiteotongsini	ɹ ɔɪ t ɪ ɒ t ə ŋ s iː n ɪ
rojeureul	ɹ əʊ dʒ j uː ɹ uː l
roketgwa	ɹ əʊ k t ɡ w ə
rokhideumatini	ɹ ɒ k h aɪ d j uː m ɐ t iː n ɪ
rolmodelro	ɹ ɒ l m ə d ɛ l ɹ əʊ
roma	ɹ əʊ m ə
romaindeuri	ɹ ɒ m eɪ n d j uː ɹ i
romaui	ɹ ɒ m ɔː i
roseuaenjelreseueseo	ɹ əʊ z j uː iː n dʒ ɪ l ɹ ɛ s j uː ɪ s eɪ əʊ
roseukul	ɹ əʊ z j uː k ʌ l
rotde	ɹ ɒ t d
rotdebokjijaedan	ɹ ɒ t d ɪ b ɒ k dʒ ɪ j iː d ə n
rotdeeseo	ɹ ɒ t d iː s eɪ əʊ
rotdegeurubui	ɹ ɒ t d ɪ dʒ j uː ɹ uː b j uː i
rotdehaimateuui	ɹ ɒ t d ɪ h eɪ m ɐ t j uː j uː i
rotdeholdingseu	ɹ ɒ t d ɪ h əʊ l d ɪ ŋ s j uː
rotdeholdingseuneun	ɹ ɒ t d ɪ h əʊ l d ɪ ŋ s j uː n j uː n
rotdejaieoncheu	ɹ ɒ t d ɪ dʒ eɪ ə ɹ ɒ n tʃ j uː
rotdemateueneun	ɹ ɒ t d ɪ m a t j uː ɛ n j uː n
rotdemateuneun	ɹ ɒ t d ɪ m a t j uː n j uː n
rotdeui	ɹ ɒ t d j uː i
rotdewa	ɹ ɒ t d j uː ə
rotdewoldeumoreul	ɹ ɒ t d w əʊ l d j uː m ɔː ɹ uː l
rotsampaga	ɹ ɒ t s ɐ m p ɑː ɡ ə
