-o	ɔ
raposa	ʁ ɐ p o z ɐ
raposas	ʁ ɐ p o z ɐ ʃ
raposinho	ʁ ɐ p u z i ɲ ʊ
raposito	ʁ ɐ p u z i t ʊ
raposo	ʁ ɐ p o z ʊ
raposos	ʁ ɐ p ɔ z ʊ ʃ
raposão	ʁ ɐ p u z ɐ̃ʊ̃
rapoza	ʁ ɐ p o z ɐ
rapozas	ʁ ɐ p o z ɐ ʃ
rapozinhos	ʁ ɐ p u z i ɲ ʊ ʃ
rapsodo	ʁ ɐ p s ɔ d ʊ
rapsódia	ʁ ɐ p s ɔ d j ɐ
rapsódias	ʁ ɐ p s ɔ d j ɐ ʃ
raptada	ʁ ɐ p t a d ɐ
raptar	ʁ ɐ p t a ɹ
raptara	ʁ ɐ p t a ɾ ɐ
raptava	ʁ ɐ p t a v ɐ
raptei	ʁ ɐ p t eɪ
rapto	ʁ a p t ʊ
raptou	ʁ ɐ p t o w
rapé	ʁ ɐ p ɛ
raquel	ʁ ɐ k e l
raquitismo	ʁ ɐ k i t i ʒ m ʊ
raquítica	ʁ ɐ k i t i k ɐ
raquítico	ʁ ɐ k i t i k ʊ
raquíticos	ʁ ɐ k i t i k ʊ ʃ
rara	ʁ a ɾ ɐ
raramente	ʁ ɐ ɾ ɐ m eɪ ŋ t ɨ
raras	ʁ a ɾ ɐ ʃ
rareado	ʁ ɐ ɾ i a d ʊ
rareando	ʁ ɐ ɾ i ɐ̃ ŋ d ʊ
rarear	ʁ ɐ ɾ i a ɹ
rareavam	ʁ ɐ ɾ i a v ɐ̃ʊ̃
rarefazem	ʁ ɐ ɾ ɨ f a z eɪ ŋ
rarefeito	ʁ ɐ ɾ ɨ f eɪ t ʊ
rarefeitos	ʁ ɐ ɾ ɨ f eɪ t ʊ ʃ
rareiam	ʁ ɐ ɾ eɪ ɐ̃ʊ̃
rareiem	ʁ ɐ ɾ eɪ eɪ ŋ
rarescentes	ʁ ɐ ɾ ɨ s eɪ ŋ t ɨ ʃ
raridade	ʁ ɐ ɾ i d a d ɨ
raridades	ʁ ɐ ɾ i d a d ɨ ʃ
rarissimas	ʁ ɐ ɾ i s i m ɐ ʃ
raro	ʁ a ɾ ʊ
raros	ʁ a ɾ ʊ ʃ
rarêam	ʁ ɐ ɾ e ɐ̃ʊ̃
raríssima	ʁ ɐ ɾ i s i m ɐ
raríssimas	ʁ ɐ ɾ i s i m ɐ ʃ
raríssimos	ʁ ɐ ɾ i s i m ʊ ʃ
ras	ʁ ɐ ʃ
rasa	ʁ a z ɐ
rasadas	ʁ ɐ z a d ɐ ʃ
rasantes	ʁ ɐ z ɐ̃ ŋ t ɨ ʃ
rasas	ʁ a z ɐ ʃ
rasaõ	ʁ ɐ z ɐ õ
rascunho	ʁ ɐ ʃ k ũ ɲ ʊ
rasga	ʁ a ʒ ɡ ɐ
rasgada	ʁ ɐ ʒ ɡ a d ɐ
rasgadamente	ʁ ɐ ʒ ɡ ɐ d ɐ m eɪ ŋ t ɨ
rasgadas	ʁ ɐ ʒ ɡ a d ɐ ʃ
rasgado	ʁ ɐ ʒ ɡ a d ʊ
rasgados	ʁ ɐ ʒ ɡ a d ʊ ʃ
rasgae	ʁ ɐ ʒ ɡ a ɨ
rasgal	ʁ ɐ ʒ ɡ ɑ l
rasgam	ʁ a ʒ ɡ ɐ̃ʊ̃
rasgando	ʁ ɐ ʒ ɡ ɐ̃ ŋ d ʊ
rasgando-lhe	ʁ ɐ ʒ ɡ ɐ̃ ŋ d ʊ ʎ ɨ
rasgar	ʁ ɐ ʒ ɡ a ɹ
rasgara	ʁ ɐ ʒ ɡ a ɾ ɐ
rasgarem	ʁ ɐ ʒ ɡ a ɾ eɪ ŋ
rasgassem	ʁ ɐ ʒ ɡ a s eɪ ŋ
rasgaste	ʁ ɐ ʒ ɡ a ʃ t ɨ
rasgava	ʁ ɐ ʒ ɡ a v ɐ
rasgavam	ʁ ɐ ʒ ɡ a v ɐ̃ʊ̃
rasgavam-se	ʁ ɐ ʒ ɡ a v ɐ̃ʊ̃ s ɨ
rasgo	ʁ a ʒ ɡ ʊ
rasgos	ʁ a ʒ ɡ ʊ ʃ
rasgou	ʁ ɐ ʒ ɡ o w
rasgue	ʁ a ʒ ɡ ɨ
rasguei	ʁ ɐ ʒ ɡ eɪ
rasgá	ʁ ɐ ʒ ɡ a
rasgão	ʁ ɐ ʒ ɡ ɐ̃ʊ̃
rasgões	ʁ ɐ ʒ ɡ õ j ʃ
raso	ʁ a z ʊ
rasos	ʁ a z ʊ ʃ
rasoura	ʁ ɐ z o w ɾ ɐ
raspa	ʁ a ʃ p ɐ
raspado	ʁ ɐ ʃ p a d ʊ
raspando	ʁ ɐ ʃ p ɐ̃ ŋ d ʊ
raspar	ʁ ɐ ʃ p a ɹ
raspou	ʁ ɐ ʃ p o w
rasteira	ʁ ɐ ʃ t eɪ ɾ ɐ
rasteiras	ʁ ɐ ʃ t eɪ ɾ ɐ ʃ
rasteiro	ʁ ɐ ʃ t eɪ ɾ ʊ
rasteiros	ʁ ɐ ʃ t eɪ ɾ ʊ ʃ
rasteja	ʁ ɐ ʃ t e ʒ ɐ
rastejam	ʁ ɐ ʃ t e ʒ ɐ̃ʊ̃
rastejamento	ʁ ɐ ʃ t ɨ ʒ ɐ m eɪ ŋ t ʊ
rastejando	ʁ ɐ ʃ t ɨ ʒ ɐ̃ ŋ d ʊ
rastejante	ʁ ɐ ʃ t ɨ ʒ ɐ̃ ŋ t ɨ
rastejei	ʁ ɐ ʃ t ɨ ʒ eɪ
rastilho	ʁ ɐ ʃ t i ʎ ʊ
rasto	ʁ a ʃ t ʊ
rastos	ʁ a ʃ t ʊ ʃ
rastreando	ʁ ɐ ʃ t ɹ i ɐ̃ ŋ d ʊ
rastrear	ʁ ɐ ʃ t ɹ i a ɹ
rastrearemos	ʁ ɐ ʃ t ɹ i ɐ ɾ e m ʊ ʃ
rastreava	ʁ ɐ ʃ t ɹ i a v ɐ
rastreia	ʁ ɐ ʃ t ɹ eɪ ɐ
rastreou	ʁ ɐ ʃ t ɹ i u w
rastro	ʁ a ʃ t ɹ ʊ
rastros	ʁ a ʃ t ɹ ʊ ʃ
rasuras	ʁ ɐ z u ɾ ɐ ʃ
rasão	ʁ ɐ z ɐ̃ʊ̃
rata	ʁ a t ɐ
ratai	ʁ ɐ t aɪ
ratanha	ʁ ɐ t ɐ̃ ɲ ɐ
ratava	ʁ ɐ t a v ɐ
ratazana	ʁ ɐ t ɐ z ɐ̃ n ɐ
ratear	ʁ ɐ t i a ɹ
rateio	ʁ ɐ t eɪ ʊ
rateira	ʁ ɐ t eɪ ɾ ɐ
rateiros	ʁ ɐ t eɪ ɾ ʊ ʃ
ratice	ʁ ɐ t i s ɨ
ratices	ʁ ɐ t i s ɨ ʃ
ratificada	ʁ ɐ t i f i k a d ɐ
ratificando	ʁ ɐ t i f i k ɐ̃ ŋ d ʊ
ratificou	ʁ ɐ t i f i k o w
ratinhos	ʁ ɐ t i ɲ ʊ ʃ
rato	ʁ a t ʊ
ratoeira	ʁ ɐ t u eɪ ɾ ɐ
ratonas	ʁ ɐ t o n ɐ ʃ
ratoneiros	ʁ ɐ t u n eɪ ɾ ʊ ʃ
ratos	ʁ a t ʊ ʃ
ratão	ʁ ɐ t ɐ̃ʊ̃
raul	ʁ aʊ l
raunier	ʁ aʊ n i ɛ ɹ
rava	ʁ a v ɐ
ravardire	ʁ ɐ v ɐ ɾ ə d i ɾ ɨ
ravena	ʁ ɐ v e n ɐ
raviata	ʁ ɐ v i a t ɐ
ravina	ʁ ɐ v i n ɐ
ravinas	ʁ ɐ v i n ɐ ʃ
raymundo	ʁ aɪ m ũ ŋ d ʊ
raza	ʁ a z ɐ
razao	ʁ ɐ z aʊ
razaó	ʁ ɐ z ɐ ɔ
razaõ	ʁ ɐ z ɐ õ
razer	ʁ ɐ z e ɹ
razia	ʁ ɐ z i ɐ
razoavel	ʁ ɐ z u a v ɛ l
razoavelmente	ʁ ɐ z u ɐ v ɨ l m eɪ ŋ t ɨ
razoes	ʁ ɐ z o ɨ ʃ
razoáveis	ʁ ɐ z u a v eɪ ʃ
razoável	ʁ ɐ z u a v ɛ l
razzia	ʁ ɐ ʒ z i ɐ
razzias	ʁ ɐ ʒ z i ɐ ʃ
razão	ʁ ɐ z ɐ̃ʊ̃
razões	ʁ ɐ z õ j ʃ
raça	ʁ a s ɐ
raçado	ʁ ɐ s a d ʊ
raças	ʁ a s ɐ ʃ
raçzes	ʁ a s z ɨ ʃ
ração	ʁ ɐ s ɐ̃ʊ̃
rações	ʁ ɐ s õ j ʃ
raínha	ʁ ɐ i ɲ ɐ
raízes	ʁ ɐ i z ɨ ʃ
raõ	ʁ ɐ õ
raújo	ʁ ɐ u ʒ ʊ
rcchefort	ɛ r r ʃ ɨ f o ɾ ə t
rccolheu	ɾ ə k u ʎ eʊ
rcem	ɾ ə s eɪ ŋ
rcprchendes	ɛ r r s e p e ɾ ə ʃ eɪ ŋ d ɨ ʃ
rcrpeiío	ɛ r r k ɾ ə p eɪ i ʊ
rdene	ɾ ə d e n ɨ
re	ʁ ɨ
reabilitar	ʁ i ɐ b i l i t a ɹ
reabilitação	ʁ i ɐ b i l i t ɐ s ɐ̃ʊ̃
reabilitei	ʁ i ɐ b i l i t eɪ
reabra	ʁ i a b ɹ ɐ
reabrindo	ʁ i ɐ b ɹ i ŋ d ʊ
reabrir	ʁ i ɐ b ɹ i ɹ
reabrirem	ʁ i ɐ b ɹ i ɾ eɪ ŋ
reacendeu	ʁ i ɐ s eɪ ŋ d eʊ
reacomodar	ʁ i ɐ k u m u d a ɹ
reacção	ʁ i ɐ s ɐ̃ʊ̃
reacções	ʁ i ɐ s õ j ʃ
reado	ʁ i a d ʊ
reador	ʁ i ɐ d o ɹ
readormecidos	ʁ i ɐ d u ɾ ə m ɨ s i d ʊ ʃ
readquirido	ʁ i ɐ d k i ɾ i d ʊ
readquirindo	ʁ i ɐ d k i ɾ i ŋ d ʊ
readquirir	ʁ i ɐ d k i ɾ i ɹ
readquiriu	ʁ i ɐ d k i ɾ iʊ
reaes	ʁ i a ɨ ʃ
reage	ʁ i a ʒ ɨ
reagem	ʁ i a ʒ eɪ ŋ
reagente	ʁ i ɐ ʒ eɪ ŋ t ɨ
reagentes	ʁ i ɐ ʒ eɪ ŋ t ɨ ʃ
reagia	ʁ i ɐ ʒ i ɐ
reagiam	ʁ i ɐ ʒ i ɐ̃ʊ̃
reagido	ʁ i ɐ ʒ i d ʊ
reagindo	ʁ i ɐ ʒ i ŋ d ʊ
reagir	ʁ i ɐ ʒ i ɹ
reagiram	ʁ i ɐ ʒ i ɾ ɐ̃ʊ̃
reagissem	ʁ i ɐ ʒ i s eɪ ŋ
reagiu	ʁ i ɐ ʒ iʊ
reais	ʁ i aɪ ʃ
reaja	ʁ i a ʒ ɐ
real	ʁ i ɑ l
realce	ʁ i ɑ l s ɨ
realejo	ʁ i ɐ l e ʒ ʊ
realejos	ʁ i ɐ l e ʒ ʊ ʃ
realenga	ʁ i ɐ l eɪ ŋ ɡ ɐ
realeza	ʁ i ɐ l e z ɐ
realezas	ʁ i ɐ l e z ɐ ʃ
realidade	ʁ i ɐ l i d a d ɨ
realidades	ʁ i ɐ l i d a d ɨ ʃ
realisado	ʁ i ɐ l i z a d ʊ
realisal	ʁ i ɐ l i z ɑ l
realisar	ʁ i ɐ l i z a ɹ
realisaria	ʁ i ɐ l i z ɐ ɾ i ɐ
realisavam	ʁ i ɐ l i z a v ɐ̃ʊ̃
realisaveis	ʁ i ɐ l i z ɐ v eɪ ʃ
realisação	ʁ i ɐ l i z ɐ s ɐ̃ʊ̃
realisem	ʁ i ɐ l i z eɪ ŋ
realismo	ʁ i ɐ l i ʒ m ʊ
realista	ʁ i ɐ l i ʃ t ɐ
realiza	ʁ i ɐ l i z ɐ
realizada	ʁ i ɐ l i z a d ɐ
realizadas	ʁ i ɐ l i z a d ɐ ʃ
realizado	ʁ i ɐ l i z a d ʊ
realizados	ʁ i ɐ l i z a d ʊ ʃ
realizam	ʁ i ɐ l i z ɐ̃ʊ̃
realizando	ʁ i ɐ l i z ɐ̃ ŋ d ʊ
realizar	ʁ i ɐ l i z a ɹ
realizar-se	ʁ i ɐ l i z a ɹ s ɨ
realizara	ʁ i ɐ l i z a ɾ ɐ
realizaram	ʁ i ɐ l i z a ɾ ɐ̃ʊ̃
realizaria	ʁ i ɐ l i z ɐ ɾ i ɐ
realizará	ʁ i ɐ l i z ɐ ɾ a
realizasse	ʁ i ɐ l i z a s ɨ
realizassem	ʁ i ɐ l i z a s eɪ ŋ
realizava	ʁ i ɐ l i z a v ɐ
realizavam	ʁ i ɐ l i z a v ɐ̃ʊ̃
realizavel	ʁ i ɐ l i z a v ɛ l
realização	ʁ i ɐ l i z ɐ s ɐ̃ʊ̃
realize	ʁ i ɐ l i z ɨ
realizei	ʁ i ɐ l i z eɪ
realizou	ʁ i ɐ l i z o w
realizá	ʁ i ɐ l i z a
realizá-la	ʁ i ɐ l i z a l ɐ
realizá-lo	ʁ i ɐ l i z a l ʊ
realmente	ʁ i ɑ l m eɪ ŋ t ɨ
realça	ʁ i ɑ l s ɐ
realçada	ʁ i ɑ l s a d ɐ
realçadas	ʁ i ɑ l s a d ɐ ʃ
realçadoras	ʁ i ɑ l s ɐ d o ɾ ɐ ʃ
realçam	ʁ i ɑ l s ɐ̃ʊ̃
realçar	ʁ i ɑ l s a ɹ
realçara	ʁ i ɑ l s a ɾ ɐ
realçava	ʁ i ɑ l s a v ɐ
realçavam	ʁ i ɑ l s a v ɐ̃ʊ̃
realço	ʁ i ɑ l s ʊ
realçou	ʁ i ɑ l s o w
reanima	ʁ i ɐ n i m ɐ
reanimado	ʁ i ɐ n i m a d ʊ
reanimando	ʁ i ɐ n i m ɐ̃ ŋ d ʊ
reanimando-se	ʁ i ɐ n i m ɐ̃ ŋ d ʊ s ɨ
reanimar	ʁ i ɐ n i m a ɹ
reanimara	ʁ i ɐ n i m a ɾ ɐ
reanimaram	ʁ i ɐ n i m a ɾ ɐ̃ʊ̃
reanimase	ʁ i ɐ n i m a z ɨ
reanimava	ʁ i ɐ n i m a v ɐ
reanimou	ʁ i ɐ n i m o w
reaparece	ʁ i ɐ p ɐ ɾ ɛ s ɨ
reaparecem	ʁ i ɐ p ɐ ɾ ɛ s eɪ ŋ
reaparecendo	ʁ i ɐ p ɐ ɾ ɨ s eɪ ŋ d ʊ
reaparecer	ʁ i ɐ p ɐ ɾ ɨ s e ɹ
reapareceram	ʁ i ɐ p ɐ ɾ ɨ s e ɾ ɐ̃ʊ̃
reapareceu	ʁ i ɐ p ɐ ɾ ɨ s eʊ
reaparecia	ʁ i ɐ p ɐ ɾ ɨ s i ɐ
reapareciam	ʁ i ɐ p ɐ ɾ ɨ s i ɐ̃ʊ̃
reaparição	ʁ i ɐ p ɐ ɾ i s ɐ̃ʊ̃
reapparcceu	ʁ i ɐ p ɐ ɾ ə s eʊ
reapparece	ʁ i ɐ p ɐ ɾ ɛ s ɨ
reapparecia	ʁ i ɐ p ɐ ɾ ɨ s i ɐ
reassumi	ʁ i ɐ s u m i
reassumindo	ʁ i ɐ s u m i ŋ d ʊ
reassumiu	ʁ i ɐ s u m iʊ
reata	ʁ i a t ɐ
reatado	ʁ i ɐ t a d ʊ
reatam	ʁ i a t ɐ̃ʊ̃
reatando	ʁ i ɐ t ɐ̃ ŋ d ʊ
reatar	ʁ i ɐ t a ɹ
reatavam	ʁ i ɐ t a v ɐ̃ʊ̃
reatavamos	ʁ i ɐ t ɐ v ɐ̃ m ʊ ʃ
reate	ʁ i a t ɨ
reatei	ʁ i ɐ t eɪ
reato	ʁ i a t ʊ
reatou	ʁ i ɐ t o w
reatámos	ʁ i ɐ t a m ʊ ʃ
reaver	ʁ i ɐ v e ɹ
reaviar	ʁ i ɐ v i a ɹ
reavivar	ʁ i ɐ v i v a ɹ
reavê-la	ʁ i ɐ v e l ɐ
reação	ʁ i ɐ s ɐ̃ʊ̃
reações	ʁ i ɐ s õ j ʃ
rebaixa	ʁ e b aɪ ʃ ɐ
rebaixada	ʁ e b aɪ ʃ a d ɐ
rebaixado	ʁ e b aɪ ʃ a d ʊ
rebaixam	ʁ e b aɪ ʃ ɐ̃ʊ̃
rebaixamento	ʁ e b aɪ ʃ ɐ m eɪ ŋ t ʊ
rebaixando	ʁ e b aɪ ʃ ɐ̃ ŋ d ʊ
rebaixar	ʁ e b aɪ ʃ a ɹ
rebaixaria	ʁ e b aɪ ʃ ɐ ɾ i ɐ
rebaixava	ʁ e b aɪ ʃ a v ɐ
rebaixe	ʁ e b aɪ ʃ ɨ
rebaixou	ʁ e b aɪ ʃ o w
rebalsadas	ʁ ɨ b ɑ l s a d ɐ ʃ
rebalsamento	ʁ ɨ b ɑ l s ɐ m eɪ ŋ t ʊ
rebalsando	ʁ ɨ b ɑ l s ɐ̃ ŋ d ʊ
rebalsar	ʁ ɨ b ɑ l s a ɹ
rebanhados	ʁ e b ɐ̃ ɲ a d ʊ ʃ
rebanho	ʁ e b ɐ̃ ɲ ʊ
rebanhos	ʁ e b ɐ̃ ɲ ʊ ʃ
rebarbativa	ʁ e b ɐ ɾ ə b ɐ t i v ɐ
rebarbativas	ʁ e b ɐ ɾ ə b ɐ t i v ɐ ʃ
rebarbativo	ʁ e b ɐ ɾ ə b ɐ t i v ʊ
rebarbativos	ʁ e b ɐ ɾ ə b ɐ t i v ʊ ʃ
rebate	ʁ e b a t ɨ
rebatem	ʁ e b a t eɪ ŋ
rebatendo	ʁ e b ɐ t eɪ ŋ d ʊ
rebater	ʁ e b ɐ t e ɹ
rebates	ʁ e b a t ɨ ʃ
rebatia	ʁ e b ɐ t i ɐ
rebatida	ʁ e b ɐ t i d ɐ
rebatido	ʁ e b ɐ t i d ʊ
rebatinhas	ʁ e b ɐ t i ɲ ɐ ʃ
rebatê	ʁ e b ɐ t e
rebeca	ʁ e b ɛ k ɐ
rebecas	ʁ e b ɛ k ɐ ʃ
rebela	ʁ e b ɛ l ɐ
rebeladas	ʁ e b ɨ l a d ɐ ʃ
rebelado	ʁ e b ɨ l a d ʊ
rebelados	ʁ e b ɨ l a d ʊ ʃ
rebelam	ʁ e b ɛ l ɐ̃ʊ̃
rebelar	ʁ e b ɨ l a ɹ
rebelaram	ʁ e b ɨ l a ɾ ɐ̃ʊ̃
rebelava	ʁ e b ɨ l a v ɐ
rebelde	ʁ e b e l d ɨ
rebeldes	ʁ e b e l d ɨ ʃ
rebeldia	ʁ e b ɨ l d i ɐ
rebeldias	ʁ e b ɨ l d i ɐ ʃ
rebelião	ʁ e b ɨ l i ɐ̃ʊ̃
rebellada	ʁ e b ɨ l a d ɐ
rebellados	ʁ e b ɨ l a d ʊ ʃ
rebellando	ʁ e b ɨ l ɐ̃ ŋ d ʊ
rebellião	ʁ e b ɨ l i ɐ̃ʊ̃
rebelo	ʁ e b ɛ l ʊ
rebelou	ʁ e b ɨ l o w
rebenque	ʁ e b eɪ ŋ k ɨ
rebenta	ʁ e b eɪ ŋ t ɐ
rebentado	ʁ e b eɪ ŋ t a d ʊ
rebentam	ʁ e b eɪ ŋ t ɐ̃ʊ̃
rebentando	ʁ e b eɪ ŋ t ɐ̃ ŋ d ʊ
rebentar	ʁ e b eɪ ŋ t a ɹ
rebentara	ʁ e b eɪ ŋ t a ɾ ɐ
rebentaram	ʁ e b eɪ ŋ t a ɾ ɐ̃ʊ̃
rebentaria	ʁ e b eɪ ŋ t ɐ ɾ i ɐ
rebentariam	ʁ e b eɪ ŋ t ɐ ɾ i ɐ̃ʊ̃
rebentará	ʁ e b eɪ ŋ t ɐ ɾ a
rebentasse	ʁ e b eɪ ŋ t a s ɨ
rebentassem	ʁ e b eɪ ŋ t a s eɪ ŋ
rebentava	ʁ e b eɪ ŋ t a v ɐ
rebentavam	ʁ e b eɪ ŋ t a v ɐ̃ʊ̃
rebente	ʁ e b eɪ ŋ t ɨ
rebentes	ʁ e b eɪ ŋ t ɨ ʃ
rebento	ʁ e b eɪ ŋ t ʊ
rebentos	ʁ e b eɪ ŋ t ʊ ʃ
rebentou	ʁ e b eɪ ŋ t o w
rebentára	ʁ e b eɪ ŋ t a ɾ ɐ
rebentão	ʁ e b eɪ ŋ t ɐ̃ʊ̃
rebentões	ʁ e b eɪ ŋ t õ j ʃ
reberveram	ʁ e b ɨ ɾ ə v e ɾ ɐ̃ʊ̃
reboa	ʁ e b o ɐ
reboam	ʁ e b o ɐ̃ʊ̃
reboando	ʁ e b u ɐ̃ ŋ d ʊ
reboante	ʁ e b u ɐ̃ ŋ t ɨ
reboar	ʁ e b u a ɹ
reboava	ʁ e b u a v ɐ
reboavam	ʁ e b u a v ɐ̃ʊ̃
rebocada	ʁ e b u k a d ɐ
rebocador	ʁ e b u k ɐ d o ɹ
rebocando	ʁ e b u k ɐ̃ ŋ d ʊ
rebocou	ʁ e b u k o w
rebojos	ʁ e b ɔ ʒ ʊ ʃ
rebolando	ʁ e b u l ɐ̃ ŋ d ʊ
rebolar	ʁ e b u l a ɹ
rebolava	ʁ e b u l a v ɐ
reboliço	ʁ e b u l i s ʊ
reboou	ʁ e b u o w
rebordo	ʁ e b ɔ ɾ ə d ʊ
rebordos	ʁ e b ɔ ɾ ə d ʊ ʃ
rebotalho	ʁ e b u t a ʎ ʊ
rebouças	ʁ e b o w s ɐ ʃ
rebramir	ʁ e b ɹ ɐ m i ɹ
rebrilha	ʁ e b ɹ i ʎ ɐ
rebrilham	ʁ e b ɹ i ʎ ɐ̃ʊ̃
rebrilhando	ʁ e b ɹ i ʎ ɐ̃ ŋ d ʊ
rebrilhante	ʁ e b ɹ i ʎ ɐ̃ ŋ t ɨ
rebrilhantes	ʁ e b ɹ i ʎ ɐ̃ ŋ t ɨ ʃ
rebrilhar	ʁ e b ɹ i ʎ a ɹ
rebrilhava	ʁ e b ɹ i ʎ a v ɐ
rebrilhou	ʁ e b ɹ i ʎ o w
rebulir	ʁ e b u l i ɹ
rebuliço	ʁ e b u l i s ʊ
rebuscadas	ʁ e b u ʃ k a d ɐ ʃ
rebuscado	ʁ e b u ʃ k a d ʊ
rebuscados	ʁ e b u ʃ k a d ʊ ʃ
rebuscando	ʁ e b u ʃ k ɐ̃ ŋ d ʊ
rebuscar	ʁ e b u ʃ k a ɹ
rebuscas	ʁ e b u ʃ k ɐ ʃ
rebuscasse	ʁ e b u ʃ k a s ɨ
rebuscava	ʁ e b u ʃ k a v ɐ
rebuscavam	ʁ e b u ʃ k a v ɐ̃ʊ̃
rebuscou	ʁ e b u ʃ k o w
rebusque	ʁ e b u ʃ k ɨ
rebuçadas	ʁ e b u s a d ɐ ʃ
rebuçado	ʁ e b u s a d ʊ
rebuçando	ʁ e b u s ɐ̃ ŋ d ʊ
rebuço	ʁ e b u s ʊ
recacho	ʁ e k a ʃ ʊ
recadinhos	ʁ e k ɐ d i ɲ ʊ ʃ
recado	ʁ e k a d ʊ
recados	ʁ e k a d ʊ ʃ
recaem	ʁ e k a eɪ ŋ
recahia	ʁ e k ɐ i ɐ
recahir	ʁ e k ɐ i ɹ
recaia	ʁ e k aɪ ɐ
recaindo	ʁ e k ɐ i ŋ d ʊ
recaio	ʁ e k aɪ ʊ
recair	ʁ e k ɐ i ɹ
recairia	ʁ e k aɪ ɾ i ɐ
recaisse	ʁ e k aɪ s ɨ
recaiu	ʁ e k ɐ iʊ
recalcada	ʁ ɨ k ɑ l k a d ɐ
recalcadas	ʁ ɨ k ɑ l k a d ɐ ʃ
recalcado	ʁ ɨ k ɑ l k a d ʊ
recalcados	ʁ ɨ k ɑ l k a d ʊ ʃ
recalcam	ʁ e k ɑ l k ɐ̃ʊ̃
recalcando	ʁ ɨ k ɑ l k ɐ̃ ŋ d ʊ
recalcar	ʁ ɨ k ɑ l k a ɹ
recalcara	ʁ ɨ k ɑ l k a ɾ ɐ
recalcava	ʁ ɨ k ɑ l k a v ɐ
recalcitrante	ʁ ɨ k ɑ l s i t ɹ ɐ̃ ŋ t ɨ
recalcitrantes	ʁ ɨ k ɑ l s i t ɹ ɐ̃ ŋ t ɨ ʃ
recalcitrou	ʁ ɨ k ɑ l s i t ɹ o w
recalco	ʁ e k ɑ l k ʊ
recalcou	ʁ ɨ k ɑ l k o w
recalquei	ʁ ɨ k ɑ l k eɪ
recama	ʁ e k ɐ̃ m ɐ
recamada	ʁ e k ɐ m a d ɐ
recamado	ʁ e k ɐ m a d ʊ
recamados	ʁ e k ɐ m a d ʊ ʃ
recamaram	ʁ e k ɐ m a ɾ ɐ̃ʊ̃
recamavam	ʁ e k ɐ m a v ɐ̃ʊ̃
recambiada	ʁ e k ɐ̃ m b i a d ɐ
recambiar	ʁ e k ɐ̃ m b i a ɹ
recambiarem	ʁ e k ɐ̃ m b i a ɾ eɪ ŋ
recamos	ʁ e k ɐ̃ m ʊ ʃ
recanto	ʁ e k ɐ̃ ŋ t ʊ
recantos	ʁ e k ɐ̃ ŋ t ʊ ʃ
recapitulando	ʁ e k ɐ p i t u l ɐ̃ ŋ d ʊ
recapitular	ʁ e k ɐ p i t u l a ɹ
recapitulou	ʁ e k ɐ p i t u l o w
recata	ʁ e k a t ɐ
recatada	ʁ e k ɐ t a d ɐ
recatadamente	ʁ e k ɐ t ɐ d ɐ m eɪ ŋ t ɨ
recatadas	ʁ e k ɐ t a d ɐ ʃ
recatado	ʁ e k ɐ t a d ʊ
recatados	ʁ e k ɐ t a d ʊ ʃ
recatar	ʁ e k ɐ t a ɹ
recatasse	ʁ e k ɐ t a s ɨ
recatava	ʁ e k ɐ t a v ɐ
recato	ʁ e k a t ʊ
recatos	ʁ e k a t ʊ ʃ
recaía	ʁ e k ɐ i ɐ
recaída	ʁ e k ɐ i d ɐ
recaídas	ʁ e k ɐ i d ɐ ʃ
recaído	ʁ e k ɐ i d ʊ
recaíram	ʁ e k ɐ i ɾ ɐ̃ʊ̃
recaíria	ʁ e k ɐ i ɾ j ɐ
rece	ʁ ɛ s ɨ
receando	ʁ e s i ɐ̃ ŋ d ʊ
recear	ʁ e s i a ɹ
recearia	ʁ e s i ɐ ɾ i ɐ
receará	ʁ e s i ɐ ɾ a
receasse	ʁ e s i a s ɨ
receava	ʁ e s i a v ɐ
receavam	ʁ e s i a v ɐ̃ʊ̃
receb	ʁ ɨ s e b
receba	ʁ e s e b ɐ
recebe	ʁ e s ɛ b ɨ
recebe-lo	ʁ e s ɛ b ɨ l ʊ
recebedores	ʁ e s ɨ b ɨ d o ɾ ɨ ʃ
recebeffe	ʁ e s ɨ b e f ɨ
recebefte	ʁ e s ɨ b e f t ɨ
recebeftes	ʁ e s ɨ b e f t ɨ ʃ
recebel	ʁ e s ɨ b ɛ l
recebel-a	ʁ e s ɨ b ɛ l a
recebel-o	ʁ e s ɨ b ɛ l ɔ
recebem	ʁ e s ɛ b eɪ ŋ
recebemos	ʁ e s ɨ b e m ʊ ʃ
recebendo	ʁ e s ɨ b eɪ ŋ d ʊ
recebeo	ʁ e s ɨ b i ʊ
receber	ʁ e s ɨ b e ɹ
recebera	ʁ e s ɨ b e ɾ ɐ
receberam	ʁ e s ɨ b e ɾ ɐ̃ʊ̃
receberei	ʁ e s ɨ b ɨ ɾ eɪ
receberem	ʁ e s ɨ b e ɾ eɪ ŋ
receberes	ʁ e s ɨ b e ɾ ɨ ʃ
receberia	ʁ e s ɨ b ɨ ɾ i ɐ
receberá	ʁ e s ɨ b ɨ ɾ a
recebesse	ʁ e s ɨ b e s ɨ
recebeste	ʁ e s ɨ b e ʃ t ɨ
recebeu	ʁ e s ɨ b eʊ
recebeu-a	ʁ e s ɨ b eʊ a
recebeu-me	ʁ e s ɨ b eʊ m ɨ
recebeu-o	ʁ e s ɨ b eʊ ɔ
