'l	ɛ l l e
salutandola	s a l ʊ t a n d o l a
salutandolo	s a l ʊ t a n d o l o
salutano	s a l u t a n o
salutar	s a l ʊ t a r
salutarci	s a l ʊ t a r tʃ ɪ
salutare	s a l ʊ t a r e
salutarla	s a l ʊ t a r l a
salutarle	s a l ʊ t a r l e
salutarli	s a l ʊ t a r l ɪ
salutarlo	s a l ʊ t a r l o
salutarmi	s a l ʊ t a r m ɪ
salutarono	s a l ʊ t a r o n o
salutarsi	s a l ʊ t a r s ɪ
salutarti	s a l ʊ t a r t ɪ
salutarvi	s a l ʊ t a r v ɪ
salutasse	s a l ʊ t a ss e
salutassero	s a l ʊ t a ss e r o
salutata	s a l ʊ t a t a
salutate	s a l ʊ t a t e
salutatelo	s a l ʊ t a t e l o
salutatemi	s a l ʊ t a t e m ɪ
salutati	s a l ʊ t a t ɪ
salutato	s a l ʊ t a t o
salutatolo	s a l ʊ t a t o l o
salutava	s a l ʊ t a v a
salutavalo	s a l ʊ t a v a l o
salutavan	s a l ʊ t a v a n
salutavano	s a l ʊ t a v a n o
salutavo	s a l ʊ t a v o
salute	s a l u t e
salutem	s a l u t e m
saluteremo	s a l ʊ t e r ɛ m o
salutevol	s a l ʊ t e v o l
saluti	s a l u t ɪ
salutiamo	s a l ʊ t j a m o
salutiamoci	s a l ʊ t j a m o tʃ ɪ
salutifero	s a l ʊ t i f e r o
saluto	s a l u t o
salutoe	s a l ʊ t o e
salutolla	s a l ʊ t ɔ l l a
salutollo	s a l ʊ t ɔ l l o
salutorono	s a l ʊ t ɔ r o n o
salutò	s a l ʊ t ɔ
saluzzo	s a l u tsː o
salva	s a l v a
salvaci	s a l v a tʃ ɪ
salvadanaio	s a l v a d a n a i o
salvador	s a l v a d ɔ r
salvagente	s a l v a dʒ ɛ n t e
salvaguardare	s a l v a ɡ w a r d a r e
salvaguardia	s a l v a ɡ w a r d i a
salvai	s a l v a j
salvamento	s a l v a m e n t o
salvami	s a l v a m ɪ
salvando	s a l v a n d o
salvandogli	s a l v a n d o ʎ ɪ
salvani	s a l v a n ɪ
salvano	s a l v a n o
salvar	s a l v a r
salvare	s a l v a r e
salvarla	s a l v a r l a
salvarle	s a l v a r l e
salvarli	s a l v a r l ɪ
salvarlo	s a l v a r l o
salvarmi	s a l v a r m ɪ
salvarono	s a l v a r o n o
salvarsi	s a l v a r s ɪ
salvarti	s a l v a r t ɪ
salvarvi	s a l v a r v ɪ
salvasse	s a l v a ss e
salvaste	s a l v a s t e
salvasti	s a l v a s t ɪ
salvata	s a l v a t a
salvataggi	s a l v a t a dʒː ɪ
salvataggio	s a l v a t a dʒː o
salvate	s a l v a t e
salvatemi	s a l v a t e m ɪ
salvati	s a l v a t ɪ
salvatica	s a l v a t i k a
salvatiche	s a l v a t i k e
salvatichezza	s a l v a t i k e tsː a
salvatici	s a l v a t i tʃ ɪ
salvatico	s a l v a t i k o
salvato	s a l v a t o
salvator	s a l v a t ɔ r
salvatore	s a l v a t o r e
salvatori	s a l v a t o r ɪ
salvava	s a l v a v a
salvavo	s a l v a v o
salvazione	s a l v a ts i o n e
salve	s a l v e
salverai	s a l v e r aː ɪ
salveremo	s a l v e r ɛ m o
salverà	s a l v e ɾ a
salverò	s a l v e ɾ ɔ
salvezza	s a l v e tsː a
salvi	s a l v ɪ
salviamo	s a l v i a m o
salviamoci	s a l v i a m o tʃ ɪ
salviati	s a l v i a t ɪ
salvie	s a l v i e
salvietta	s a l v i e tː a
salviette	s a l v i e tː e
salviettina	s a l v i e tː i n a
salvini	s a l v i n ɪ
salvino	s a l v i n o
salvo	s a l v o
salvoni	s a l v o n ɪ
salvono	s a l v o n o
salvum	s a l v ʊ m
salvò	s a l v ɔ
salza	s a l ts a
salzano	s a l ts a n o
salzò	s a l ts ɔ
salé	s a l e
salì	s a l i
salìan	s a l i a n
salí	s a l i
salùtalo	s a l u t a l o
samaria	s a m a r i a
samaritana	s a m a r i t a n a
sambuco	s a m b u k o
sami	s a m ɪ
sammazzano	s a m m a tsː a n o
samoiedi	s a m o i e d ɪ
samoiedo	s a m o i e d o
sampogna	s a m p o ɲ ɲ a
sampognetta	s a m p o ɲ e tː a
san	s a n
sana	s a n a
sanano	s a n a n o
sanant	s a n a n t
sanar	s a n a r
sanare	s a n a r e
sanarlo	s a n a r l o
sanarsi	s a n a r s ɪ
sanata	s a n a t a
sanato	s a n a t o
sanator	s a n a t ɔ r
sanatorio	s a n a t ɔ r i o
sanava	s a n a v a
sancta	s a n k t a
sancte	s a n k t e
sancti	s a n k t ɪ
sanctissimo	s a n k t i ss i m o
sanctorum	s a n k t ɔ r ʊ m
sand	s a n d
sandali	s a n d a l ɪ
sandava	s a n d a v a
sandolino	s a n d o l i n o
sandra	s a n d r a
sandrebbe	s a n d r ɛ bː e
sandrina	s a n d r i n a
sandro	s a n d r o
sandrocca	s a n d r ɔ kː a
sane	s a n e
sanese	s a n e z e
sanesi	s a n e z ɪ
sangelli	s a n dʒ ɛ l l ɪ
sangiachi	s a n dʒ a k ɪ
sangone	s a ŋ ɡ o n e
sanguaccio	s a ŋ ɡ w a tʃː o
sangue	s a ŋ ɡ w e
sangui	s a ŋ ɡ w ɪ
sanguigna	s a ŋ ɡ w i ɲ ɲ a
sanguigne	s a ŋ ɡ w i ɲ ɲ e
sanguigni	s a ŋ ɡ w i ɲ ɲ ɪ
sanguigno	s a ŋ ɡ w i ɲ ɲ o
sanguina	s a ŋ ɡ w i n a
sanguinando	s a ŋ ɡ w i n a n d o
sanguinante	s a ŋ ɡ w i n a n t e
sanguinanti	s a ŋ ɡ w i n a n t ɪ
sanguinare	s a ŋ ɡ w i n a r e
sanguinari	s a ŋ ɡ w i n a r ɪ
sanguinarie	s a ŋ ɡ w i n a r i e
sanguinarii	s a ŋ ɡ w i n a r ɪː j
sanguinato	s a ŋ ɡ w i n a t o
sanguinava	s a ŋ ɡ w i n a v a
sanguinavano	s a ŋ ɡ w i n a v a n o
sanguine	s a ŋ ɡ w i n e
sanguinenti	s a ŋ ɡ w i n ɛ n t ɪ
sanguinitade	s a ŋ ɡ w i n i t a d e
sanguinolente	s a ŋ ɡ w i n o l ɛ n t e
sanguinolenti	s a ŋ ɡ w i n o l ɛ n t ɪ
sanguinosa	s a ŋ ɡ w i n o z a
sanguinosamente	s a ŋ ɡ w i n o z a m e n t e
sanguinose	s a ŋ ɡ w i n o z e
sanguinosi	s a ŋ ɡ w i n ɔ z ɪ
sanguinoso	s a ŋ ɡ w i n o z o
sanguisuga	s a ŋ ɡ w i z u ɡ a
sanguisughe	s a ŋ ɡ w i z u ɡ e
sani	s a n ɪ
sanità	s a n i t a
sanleo	s a n l ɛ o
sanna	s a n n a
sanne	s a n n e
sannebbia	s a n n e bː i a
sannebbiò	s a n n e bː j ɔ
sannega	s a n n e ɡ a
sannella	s a n n ɛ l l a
sannera	s a n n e r a
sanni	s a n n ɪ
sannitico	s a n n i t i k o
sanno	s a n n o
sannulla	s a n n u l l a
sannunciò	s a n n ʊ n tʃ ɔ
sannuvola	s a n n u v o l a
sano	s a n o
sans	s a n s
sansone	s a n s o n e
sansovinesco	s a n s o v i n e s k o
sant'agata	s a n t a ɡ a t a
sant'agnese	s a n t a ɲ e z e
sant'agnolo	s a n t a ɲ o l o
sant'agostino	s a n t a ɡ o s t i n o
sant'alfio	s a n t a l f i o
sant'andrea	s a n t a n d r ɛ a
sant'angelo	s a n t a n dʒ e l o
sant'anima	s a n t a n i m a
sant'anna	s a n t a n n a
sant'antonio	s a n t a n t ɔ n i o
sant'apostolo	s a n t a p ɔ s t o l o
sant'avvocato	s a n t a v v o k a t o
sant'elmo	s a n t ɛ l m o
sant'eustachio	s a n t e ʊ s t a k i o
sant'uberto	s a n t ʊ b ɛ r t o
sant'uomo	s a n t w ɔ m o
santa	s a n t a
santafior	s a n t a f j ɔ r
santamente	s a n t a m e n t e
santangelo	s a n t a n dʒ e l o
santanima	s a n t a n i m a
santantonio	s a n t a n t ɔ n i o
santarella	s a n t a r ɛ l l a
sante	s a n t e
santelena	s a n t e l ɛ n a
santerno	s a n t ɛ r n o
santi	s a n t ɪ
santiago	s a n t j a ɡ o
santifica	s a n t i f i k a
santificata	s a n t i f i k a t a
santini	s a n t i n ɪ
santissima	s a n t i ss i m a
santissimo	s a n t i ss i m o
santità	s a n t i t a
santo	s a n t o
santoa	s a n t o a
santoancora	s a n t o a n k ɔ r a
santone	s a n t o n e
santoro	s a n t ɔ r o
santu	s a n t ʊ
santuari	s a n t ʊ a r ɪ
santuario	s a n t ʊ a r i o
santuomo	s a n t ʊ ɔ m o
santus	s a n t ʊ s
santuzza	s a n t u tsː a
sanz'alcun	s a n ts a l k ʊ n
sanz'alcuna	s a n ts a l k u n a
sanz'alcuno	s a n ts a l k u n o
sanz'ali	s a n ts a l ɪ
sanz'altra	s a n ts a l t r a
sanz'altro	s a n ts a l t r o
sanz'argento	s a n ts a r dʒ ɛ n t o
sanz'arme	s a n ts a r m e
sanz'essa	s a n ts e ss a
sanz'esser	s a n ts e ss ɛ r
sanz'essermi	s a n ts ɛ ss e r m ɪ
sanz'esso	s a n ts ɛ ss o
sanz'ira	s a n ts i r a
sanz'oro	s a n ts ɔ r o
sanza	s a n ts a
sanzacchi	s a n ts a kː ɪ
sanzione	s a n ts i o n e
sao	s a o
saoi	s a ɔ i
sapavam	s a p a v a m
sape	s a p e
sapea	s a p ɛ a
sapean	s a p ɛ a n
sapeano	s a p e a n o
sapei	s a p ɛ i
sapemmo	s a p ɛ m m o
sapemo	s a p e m o
sapendo	s a p ɛ n d o
sapendola	s a p e n d o l a
sapendolo	s a p e n d o l o
sapendomi	s a p e n d o m ɪ
sapendone	s a p e n d o n e
sapendosi	s a p e n d o z ɪ
sapendovi	s a p e n d o v ɪ
saper	s a p ɛ r
saperci	s a p ɛ r tʃ ɪ
sapere	s a p e r e
sapereste	s a p e r ɛ s t e
saperesti	s a p e r ɛ s t ɪ
saperete	s a p e r e t e
sapergliela	s a p ɛ r ʎ e l a
saperi	s a p ɛ r ɪ
saperla	s a p ɛ r l a
saperle	s a p ɛ r l e
saperli	s a p ɛ r l ɪ
saperlo	s a p ɛ r l o
sapermi	s a p ɛ r m ɪ
saperne	s a p ɛ r n e
sapersela	s a p ɛ r s e l a
saperseli	s a p ɛ r s e l ɪ
sapersi	s a p e r s ɪ
saperti	s a p ɛ r t ɪ
sapervi	s a p ɛ r v ɪ
saperà	s a p e ɾ a
sapesse	s a p ɛ ss e
sapessero	s a p e ss e r o
sapessi	s a p ɛ ss ɪ
sapeste	s a p ɛ s t e
sapesti	s a p ɛ s t ɪ
sapete	s a p e t e
sapetq	s a p e t k
sapeva	s a p ɛ v a
sapevala	s a p e v a l a
sapevamo	s a p e v a m o
sapevan	s a p e v a n
sapevano	s a p e v a n o
sapevasi	s a p e v a z ɪ
sapevate	s a p e v a t e
sapevi	s a p ɛ v ɪ
sapevo	s a p ɛ v o
sapia	s a p i a
sapiamo	s a p j a m o
sapiate	s a p j a t e
sapiente	s a p i ɛ n t e
sapientemente	s a p j e n t e m e n t e
sapienti	s a p j ɛ n t ɪ
sapientissime	s a p j e n t i ss i m e
sapientissimi	s a p j e n t i ss i m ɪ
sapientissimo	s a p j e n t i ss i m o
sapientone	s a p j e n t o n e
sapienza	s a p j ɛ n ts a
sapienzia	s a p j e n ts i a
saponata	s a p o n a t a
saponate	s a p o n a t e
sapone	s a p o n e
saponetto	s a p o n e tː o
saponi	s a p o n ɪ
sapor	s a p ɔ r
sapore	s a p o r e
saporetto	s a p o r e tː o
sapori	s a p o r ɪ
saporini	s a p o r i n ɪ
saporino	s a p o r i n o
saporita	s a p o r i t a
saporitamente	s a p o r i t a m e n t e
saporite	s a p o r i t e
saporiti	s a p o r i t ɪ
saporito	s a p o r i t o
saporosi	s a p o r ɔ z ɪ
saporoso	s a p o r o z o
sappaga	s a pː a ɡ a
sappalesa	s a pː a l e z a
sapparecchiava	s a pː a r e kː j a v a
sappi	s a pː ɪ
sappia	s a pː i a
sappiamo	s a pː j a m o
sappian	s a pː j a n
sappiano	s a pː j a n o
sappiate	s a pː j a t e
sappiatelo	s a pː j a t e l o
sappiccarono	s a pː i kː a r o n o
sappiccicava	s a pː i tʃː i k a v a
sappie	s a pː j e
sappiendo	s a pː j ɛ n d o
sappilo	s a pː i l o
sappimi	s a pː i m ɪ
sappino	s a pː i n o
sappoggia	s a pː o dʒː a
sapprende	s a pː r ɛ n d e
sappressa	s a pː r e ss a
sappressò	s a pː r e ss ɔ
sapprezza	s a pː r e tsː a
sappropriarono	s a pː r o p r i a r o n o
saprai	s a p r aː ɪ
sapranno	s a p r a n n o
sapre	s a p r e
saprebbe	s a p r ɛ bː e
saprebbero	s a p r e bː e r o
saprei	s a p r ɛ i
sapremmo	s a p r ɛ m m o
sapremo	s a p r ɛ m o
sapreste	s a p r ɛ s t e
sapresti	s a p r ɛ s t ɪ
saprete	s a p r e t e
sapriva	s a p r i v a
saprono	s a p r o n o
saprà	s a p r a
saprì	s a p r i
saprò	s a p r ɔ
saputa	s a p u t a
sapute	s a p u t e
saputi	s a p u t ɪ
saputo	s a p u t o
sapïente	s a p i ɛ n t e
sara	s a ɾ a
saraceni	s a ɾ a tʃ ɛ n ɪ
saraceno	s a ɾ a tʃ ɛ n o
saracin	s a ɾ a tʃ i n
saracinesca	s a ɾ a tʃ i n e s k a
saracino	s a ɾ a tʃ i n o
saragli	s a ɾ a ʎ ɪ
sarah	s a ɾ a
sarai	s a ɾ a ɪ
sarammi	s a ɾ a m m ɪ
saran	s a ɾ a n
saranne	s a ɾ a n n e
saranno	s a ɾ a n n o
saravvi	s a ɾ a v v ɪ
sarcasmi	s a r k a z m ɪ
sarcasmo	s a r k a z m o
sarcastica	s a r k a s t i k a
sarcasticamente	s a r k a s t i k a m e n t e
sarcastico	s a r k a s t i k o
sarchia	s a r k i a
sarchiare	s a r k j a r e
sarchiava	s a r k j a v a
sarchiello	s a r k j ɛ l l o
sarci	s a r tʃ ɪ
sarcofago	s a r k ɔ f a ɡ o
sarcoma	s a r k ɔ m a
sarcos	s a r k o s
sarcìa	s a r tʃ i a
sarda	s a r d a
sardanapalo	s a r d a n a p a l o
sarde	s a r d e
sardegna	s a r d e ɲ ɲ a
sardelle	s a r d ɛ l l e
sardi	s a r d ɪ
sardigna	s a r d i ɲ ɲ a
sardine	s a r d i n e
sardo	s a r d o
sardoniche	s a r d ɔ n i k e
sardonico	s a r d ɔ n i k o
sardou	s a r d o ʊ
sare	s a r e
sarebbano	s a r e bː a n o
sarebbe	s a r ɛ bː e
sarebbeli	s a r e bː ɛ l ɪ
sarebbeno	s a r e bː ɛ n o
sarebber	s a r e bː ɛ r
sarebbero	s a r e bː e r o
sarebbono	s a r e bː o n o
sarei	s a r ɛ i
sarem	s a r e m
saremmo	s a r ɛ m m o
saremo	s a r ɛ m o
sarer	s a r ɛ r
sareste	s a r ɛ s t e
saresti	s a r ɛ s t ɪ
sarete	s a r e t e
sargassi	s a r ɡ a ss ɪ
sargassum	s a r ɡ a ss ʊ m
sargia	s a r dʒ i a
saria	s a r i a
sariamo	s a r i a m o
sarian	s a r i a n
sariano	s a r i a n o
saridda	s a r i dː a
sarie	s a r i e
sarien	s a r i e n
sarieno	s a r i ɛ n o
sarina	s a r i n a
sarino	s a r i n o
sarli	s a r l ɪ
sarmano	s a r m a n o
sarmenti	s a r m e n t ɪ
sarmento	s a r m e n t o
sarnio	s a r n i o
saro	s a r o
sarovvi	s a r ɔ v v ɪ
sarrabbia	s a r ɾ a bː i a
sarrafina	s a r ɾ a f i n a
sarrafì	s a r ɾ a f i
sarrampicano	s a r ɾ a m p i k a n o
sarrampicava	s a r ɾ a m p i k a v a
sarranno	s a r ɾ a n n o
sarrebbe	s a r ɾ ɛ bː e
sarrei	s a r ɾ ɛ i
sarresta	s a r ɾ ɛ s t a
sarrestasse	s a r ɾ e s t a ss e
sarrestò	s a r ɾ e s t ɔ
sarri	s a r ɾ ɪ
sarria	s a r ɾ i a
sarricciava	s a r ɾ i tʃː a v a
sarrischiò	s a r ɾ i s k j ɔ
sarso	s a r s o
sarta	s a r t a
sarte	s a r t e
sarti	s a r t ɪ
sartiame	s a r t j a m e
sartie	s a r t i e
sartina	s a r t i n a
sartine	s a r t i n e
sarto	s a r t o
sartor	s a r t ɔ r
sartore	s a r t o r e
sartoria	s a r t o r i a
sartorie	s a r t o r i e
saru	s a r ʊ
sarulli	s a r u l l ɪ
sarà	s a ɾ a
sarìa	s a r i a
sarìi	s a r i ɪ
saría	s a r i a
sarò	s a ɾ ɔ
sas	s a s
saspettava	s a s p e tː a v a
sassaiola	s a ss a j ɔ l a
sassari	s a ss a r ɪ
sassata	s a ss a t a
sassate	s a ss a t e
sassi	s a ss ɪ
sassificate	s a ss i f i k a t e
sasso	s a ss o
sassoggetta	s a ss o dʒː e tː a
sassol	s a ss o l
sassolini	s a ss o l i n ɪ
sassolino	s a ss o l i n o
sassoni	s a ss o n ɪ
sassosa	s a ss o z a
sassose	s a ss o z e
sassosi	s a ss ɔ z ɪ
sassoso	s a ss o z o
satan	s a t a n
satana	s a t a n a
satanasso	s a t a n a ss o
satanica	s a t a n i k a
satanico	s a t a n i k o
satanina	s a t a n i n a
sate	s a t e
satellite	s a t ɛ l l i t e
satelliti	s a t ɛ l l i t ɪ
satellizio	s a t e l l i ts i o
sateste	s a t ɛ s t e
satia	s a t i a
satio	s a t i o
satiretta	s a t i r e tː a
satiri	s a t i r ɪ
satiro	s a t i r o
satisface	s a t i s f a tʃ e
satisfannosi	s a t i s f a n n ɔ z ɪ
satisfara	s a t i s f a ɾ a
satisfare	s a t i s f a r e
satisfarlo	s a t i s f a r l o
satisfatti	s a t i s f a tː ɪ
satisfatto	s a t i s f a tː o
satisfazione	s a t i s f a ts i o n e
satolla	s a t ɔ l l a
satolli	s a t ɔ l l ɪ
satollo	s a t ɔ l l o
satriano	s a t r i a n o
sattaccò	s a tː a kː ɔ
satura	s a t ʊ r a
saturato	s a t ʊ r a t o
saturi	s a t ʊ r ɪ
saturità	s a t ʊ r i t a
saturnale	s a t ʊ r n a l e
saturnia	s a t u r n i a
saturno	s a t u r n o
saturo	s a t ʊ r o
satìto	s a t i t o
saul	s a ʊ l
saurio	s a ʊ r i o
sauro	s a ʊ r o
sav	s a v
savanzava	s a v a n ts a v a
savena	s a v ɛ n a
saver	s eɪ v ə
savere	s a v e r e
saverio	s a v ɛ r i o
savesse	s a v ɛ ss e
saveste	s a v ɛ s t e
saveva	s a v e v a
savez	s a v e ts
savi	s a v ɪ
savia	s a v i a
saviamente	s a v j a m e n t e
savie	s a v j e
saviezza	s a v j e tsː a
savii	s a v ɪː j
savio	s a v i o
savoiarda	s a v o i a r d a
savoiardi	s a v o i a r d ɪ
savona	s a v o n a
savonerola	s a v o n e r ɔ l a
savonese	s a v o n e z e
savor	s a v ɔ r
savorose	s a v o r o z e
savventa	s a v v ɛ n t a
savventarono	s a v v e n t a r o n o
savvia	s a v v i a
savviava	s a v v i a v a
savvicina	s a v v i tʃ i n a
savvicinò	s a v v i tʃ i n ɔ
savvinca	s a v v i n k a
savvio	s a v v i o
savviò	s a v v i ɔ
savvolse	s a v v o l s e
sazia	s a ts i a
saziando	s a ts j a n d o
saziar	s a ts j a r
saziare	s a ts j a r e
saziarei	s a ts j a r ɛ i
saziarmene	s a ts j a r m e n e
saziarmi	s a ts j a r m ɪ
saziarsi	s a ts j a r s ɪ
saziarti	s a ts j a r t ɪ
saziata	s a ts j a t a
saziato	s a ts j a t o
saziava	s a ts j a v a
saziavano	s a ts j a v a n o
sazie	s a ts j e
sazii	s a ts ɪː j
sazio	s a ts i o
saìfarixiffa	s a i f a r i k s i f f a
saúl	s a u l
sbaccaneggiar	z b a kː a n e dʒː a r
sbacchiando	z b a kː j a n d o
sbaciucchiarlo	z b a tʃ ʊ kː j a r l o
sbaciucchiavano	z b a tʃ ʊ kː j a v a n o
sbadagliare	z b a d a ʎ a r e
sbadatamente	z b a d a t a m e n t e
sbadate	z b a d a t e
sbadigli	z b a d i ʎ ɪ
sbadiglia	z b a d i ʎ a
sbadigliando	z b a d i ʎ a n d o
sbadigliano	z b a d i ʎ a n o
sbadigliare	z b a d i ʎ a r e
sbadigliasse	z b a d i ʎ a ss e
sbadigliate	z b a d i ʎ a t e
sbadigliato	z b a d i ʎ a t o
sbadigliava	z b a d i ʎ a v a
sbadigliavano	z b a d i ʎ a v a n o
sbadigliavo	z b a d i ʎ a v o
sbadiglio	z b a d i ʎ o
sbadigliò	z b a d i ʎ ɔ
sbagli	z b a ʎ ɪ
sbaglia	z b a ʎ a
sbagliando	z b a ʎ a n d o
sbagliano	z b a ʎ a n o
sbagliare	z b a ʎ a r e
sbagliata	z b a ʎ a t a
sbagliate	z b a ʎ a t e
sbagliati	z b a ʎ a t ɪ
sbagliato	z b a ʎ a t o
sbagliava	z b a ʎ a v a
sbagliavasi	z b a ʎ a v a z ɪ
sbagliavo	z b a ʎ a v o
sbaglio	z b a ʎ o
sbaldore	z b a l d o r e
sbalestrate	z b a l e s t r a t e
sbalestrato	z b a l e s t r a t o
sbalestrò	z b a l e s t r ɔ
sballa	z b a l l a
sballarne	z b a l l a r n e
sballata	z b a l l a t a
sballate	z b a l l a t e
sballone	z b a l l o n e
sballottando	z b a l l o tː a n d o
sballottandosi	z b a l l o tː a n d o z ɪ
sballottata	z b a l l o tː a t a
sballottato	z b a l l o tː a t o
sbalordimenti	z b a l o r d i m e n t ɪ
sbalordimento	z b a l o r d i m e n t o
sbalordire	z b a l o r d i r e
sbalordirono	z b a l o r d i r o n o
sbalordisce	z b a l o r d i ʃ e
sbalordita	z b a l o r d i t a
sbalordite	z b a l o r d i t e
sbalorditi	z b a l o r d i t ɪ
sbalordito	z b a l o r d i t o
sbalorditoio	z b a l o r d i t o j o
sbalorditoja	z b a l o r d i t o j a
sbalordivano	z b a l o r d i v a n o
sbalordì	z b a l o r d i
sbalordí	z b a l o r d i
sbalza	z b a l ts a
sbalzando	z b a l ts a n d o
sbalzare	z b a l ts a r e
sbalzasse	z b a l ts a ss e
sbalzata	z b a l ts a t a
sbalzate	z b a l ts a t e
sbalzava	z b a l ts a v a
sbalzi	z b a l ts ɪ
sbalzò	z b a l ts ɔ
sbanda	z b a n d a
sbandano	z b a n d a n o
sbandarono	z b a n d a r o n o
sbandarsi	z b a n d a r s ɪ
sbandassero	z b a n d a ss e r o
sbandata	z b a n d a t a
sbandati	z b a n d a t ɪ
sbandato	z b a n d a t o
sbandava	z b a n d a v a
sbandavano	z b a n d a v a n o
sbandeggiata	z b a n d e dʒː a t a
sbandendo	z b a n d ɛ n d o
sbandita	z b a n d i t a
sbandite	z b a n d i t e
sbandito	z b a n d i t o
sbandì	z b a n d i
sbaragliare	z b a ɾ a ʎ a r e
sbaraglio	z b a ɾ a ʎ o
sbarazzandosi	z b a ɾ a tsː a n d o z ɪ
sbarazzare	z b a ɾ a tsː a r e
sbarazzarla	z b a ɾ a tsː a r l a
sbarazzarmi	z b a ɾ a tsː a r m ɪ
sbarazzarsi	z b a ɾ a tsː a r s ɪ
sbarazzarvi	z b a ɾ a tsː a r v ɪ
sbarazzato	z b a ɾ a tsː a t o
sbarazzatosi	z b a ɾ a tsː a t o z ɪ
sbarazzava	z b a ɾ a tsː a v a
sbarazzeremo	z b a ɾ a tsː e r ɛ m o
sbarazzino	z b a ɾ a tsː i n o
sbarazzò	z b a ɾ a tsː ɔ
sbarbagli	z b a r b a ʎ ɪ
sbarbagliando	z b a r b a ʎ a n d o
sbarbagliava	z b a r b a ʎ a v a
sbarbagliavano	z b a r b a ʎ a v a n o
sbarbaglio	z b a r b a ʎ o
sbarbata	z b a r b a t a
sbarbato	z b a r b a t o
sbarbàglio	z b a r b a ʎ o
sbarca	z b a r k a
sbarcano	z b a r k a n o
sbarcare	z b a r k a r e
sbarcarla	z b a r k a r l a
sbarcarono	z b a r k a r o n o
sbarcati	z b a r k a t ɪ
sbarcato	z b a r k a t o
sbarcava	z b a r k a v a
sbarcavan	z b a r k a v a n
sbarcavano	z b a r k a v a n o
sbarco	z b a r k o
sbardellata	z b a r d e l l a t a
sbardellati	z b a r d e l l a t ɪ
sbardi	z b a r d ɪ
sbarra	z b a r ɾ a
sbarramento	z b a r ɾ a m e n t o
sbarrando	z b a r ɾ a n d o
sbarrandole	z b a r ɾ a n d o l e
sbarrare	z b a r ɾ a r e
sbarrarono	z b a r ɾ a r o n o
sbarrarsi	z b a r ɾ a r s ɪ
sbarrate	z b a r ɾ a t e
sbarrati	z b a r ɾ a t ɪ
sbarrato	z b a r ɾ a t o
sbarrava	z b a r ɾ a v a
sbarravano	z b a r ɾ a v a n o
sbarre	z b a r ɾ e
sbarro	z b a r ɾ o
sbarrò	z b a r ɾ ɔ
sbasoffiare	z b a z o f f j a r e
sbassare	z b a ss a r e
sbassarlo	z b a ss a r l o
sbatacchiando	z b a t a kː j a n d o
sbatacchiandolo	z b a t a kː j a n d o l o
sbatacchiare	z b a t a kː j a r e
sbatacchiarlo	z b a t a kː j a r l o
sbatacchiata	z b a t a kː j a t a
sbatacchiato	z b a t a kː j a t o
sbatacchiava	z b a t a kː j a v a
sbatacchiò	z b a t a kː j ɔ
sbatte	z b a tː e
sbattendo	z b a tː ɛ n d o
sbattendosene	z b a tː e n d o z e n e
sbattendosi	z b a tː e n d o z ɪ
sbatter	z b a tː ɛ r
sbattere	z b a tː e r e
sbattergli	z b a tː e r ʎ ɪ
sbattergliela	z b a tː e r ʎ e l a
sbatterla	z b a tː e r l a
sbatterlo	z b a tː e r l o
sbatterono	z b a tː ɛ r o n o
sbattersi	z b a tː e r s ɪ
sbattesse	z b a tː ɛ ss e
sbattete	z b a tː e t e
sbatteva	z b a tː ɛ v a
sbattevano	z b a tː e v a n o
sbattimenti	z b a tː i m e n t ɪ
sbattito	z b a tː i t o
sbattuta	z b a tː u t a
sbattute	z b a tː u t e
sbattuti	z b a tː u t ɪ
sbattuto	z b a tː u t o
sbatté	z b a tː e
sbavata	z b a v a t a
sbeffavano	z b e f f a v a n o
sbeffeggiato	z b e f f e dʒː a t o
sbeffeggino	z b e f f e dʒː i n o
sbellicare	z b e l l i k a r e
sbercia	z b ɛ r tʃ a
sberleffi	z b e r l ɛ f f ɪ
sberna	z b ɛ r n a
sberrettate	z b e r ɾ e tː a t e
sberrettava	z b e r ɾ e tː a v a
sberrettò	z b e r ɾ e tː ɔ
sbertucciato	z b e r t ʊ tʃː a t o
sbiadire	z b j a d i r e
sbiadisce	z b j a d i ʃ e
sbiadiscono	z b j a d i s k o n o
sbiadita	z b j a d i t a
sbiadite	z b j a d i t e
sbiaditi	z b j a d i t ɪ
sbiadito	z b j a d i t o
sbianca	z b j a n k a
sbiancandosi	z b j a n k a n d o z ɪ
sbiancare	z b j a n k a r e
sbiancata	z b j a n k a t a
sbiancate	z b j a n k a t e
sbiancato	z b j a n k a t o
sbiancava	z b j a n k a v a
sbiancò	z b j a n k ɔ
sbieche	z b j e k e
sbiechi	z b j e k ɪ
sbieco	z b j e k o
sbigottimento	z b i ɡ o tː i m e n t o
sbigottir	z b i ɡ o tː i r
sbigottire	z b i ɡ o tː i r e
sbigottirlo	z b i ɡ o tː i r l o
sbigottisca	z b i ɡ o tː i s k a
sbigottisce	z b i ɡ o tː i ʃ e
sbigottita	z b i ɡ o tː i t a
sbigottiti	z b i ɡ o tː i t ɪ
sbigottito	z b i ɡ o tː i t o
sbigottiva	z b i ɡ o tː i v a
sbigottivano	z b i ɡ o tː i v a n o
sbigottì	z b i ɡ o tː i
sbiiti	z b j i t ɪ
sbilanciar	z b i l a n tʃ a r
sbilenca	z b i l ɛ n k a
sbilenche	z b i l e n k e
