а	ɑ
телемака	tʲ i ɭʲ e m ʌ k a
телемахов	tʲ i ɭʲ i m ɑ x ʌ f
теленок	tʲ i ɭʲ e n ʌ k
телесное	tʲ i ɭʲ e s n ʌ j ɪ
телесной	tʲ i ɭʲ e s n ʌ j
телефоне	tʲ i ɭʲ i f o nʲ i
телефонировали	tʲ i ɭʲ i f ʌ nʲ i r ʌ v ʌ ɭʲ ɪ
телефонной	tʲ i ɭʲ i f o n n ʌ j
телефонный	tʲ i ɭʲ i f o n n y j
телефонным	tʲ i ɭʲ i f o n n y m
телль	tʲ e ɭ ɭ
телльто	tʲ e ɭ ɭ t ʌ
телля	tʲ e ɭ ɭʲ ʌ
тело	tʲ e ɭ ʌ
телогрейке	tʲ i ɭ ʌ ɡ rʲ e j kʲ i
телом	tʲ e ɭ ʌ m
телохранителем	tʲ i ɭ ʌ x r a nʲ i tʲ i ɭʲ i m
телу	tʲ e ɭ u
тельца	tʲ e ɭ ts a
тельце	tʲ e ɭ ts y
телят	tʲ i ɭʲ ɑ t
телята	tʲ i ɭʲ ɑ t a
телятина	tʲ i ɭʲ ɑ tʲ i n a
тем	tʲ e m
тема	tʲ e m a
темам	tʲ e m ʌ m
темами	tʲ e m ʌ mʲ ɪ
темах	tʲ e m ʌ x
тембр	tʲ e m b r
тембра	tʲ e m b r a
тембре	tʲ e m b rʲ i
теме	tʲ e mʲ i
темен	tʲ e mʲ i n
теменем	tʲ e mʲ i nʲ i m
темени	tʲ e mʲ i nʲ ɪ
темень	tʲ e mʲ i n
теми	tʲ e mʲ ɪ
темна	tʲ i m n ɑ
темная	tʲ e m n ʌ ja
темневшем	tʲ i m nʲ e f ʃ y m
темнее	tʲ i m nʲ e j ɪ
темнеет	tʲ i m nʲ e j i t
темней	tʲ i m nʲ e j
темнел	tʲ i m nʲ e ɭ
темнела	tʲ i m nʲ e ɭ a
темнело	tʲ i m nʲ e ɭ ʌ
темненькую	tʲ i m nʲ e n k u ju
темнеющих	tʲ i m nʲ e ju ɕ i x
темниц	tʲ i m nʲ i ts
темнице	tʲ i m nʲ i ts y
темницу	tʲ i m nʲ i ts u
темницы	tʲ i m nʲ i ts y
темно	tʲ e m n ʌ
темнобурый	tʲ i m n ʌ b u r y j
темнобурыми	tʲ i m n ʌ b u r y mʲ ɪ
темноватые	tʲ i m n ʌ v ɑ t y j ɪ
темноватых	tʲ i m n ʌ v ɑ t y x
темноводной	tʲ i m n ʌ v o d n ʌ j
темноглазый	tʲ i m n ʌ ɡ ɭ ɑ z y j
темного	tʲ e m n ʌ v ʌ
темное	tʲ e m n ʌ j ɪ
темнозеленая	tʲ i m n ʌ ʑ i ɭʲ e n ʌ ja
темнозеленого	tʲ i m n ʌ ʑ i ɭʲ e n ʌ v ʌ
темнозеленое	tʲ i m n ʌ ʑ e ɭʲ i n ʌ j ɪ
темнозеленой	tʲ i m n ʌ ʑ i ɭʲ e n ʌ j
темнозеленый	tʲ i m n ʌ ʑ e ɭʲ i n y j
темнозелеными	tʲ i m n ʌ ʑ e ɭʲ i n y mʲ ɪ
темной	tʲ e m n ʌ j
темнокарих	tʲ i m n ʌ k ɑ rʲ i x
темнокоричневого	tʲ i m n ʌ k ʌ rʲ i tʃʲ nʲ i v ʌ v ʌ
темнокрасною	tʲ i m n ʌ k r ɑ s n ʌ ju
темнокудрявые	tʲ i m n ʌ k u d rʲ ʌ v y j ɪ
темном	tʲ e m n ʌ m
темному	tʲ e m n ʌ m u
темнопламенные	tʲ i m n ʌ p ɭ ɑ mʲ i n n y j ɪ
темносерое	tʲ i m n ʌ sʲ e r ʌ j ɪ
темносерой	tʲ i m n ʌ sʲ e r ʌ j
темносерые	tʲ i m n ʌ sʲ e r y j ɪ
темносерыми	tʲ i m n ʌ sʲ e r y mʲ ɪ
темносинее	tʲ i m n ʌ sʲ i nʲ i j ɪ
темносиний	tʲ i m n ʌ sʲ i nʲ i j
темнота	tʲ i m n ʌ t ɑ
темноте	tʲ i m n ʌ tʲ e
темнотою	tʲ i m n ʌ t o ju
темноту	tʲ i m n ʌ t u
темноты	tʲ i m n ʌ t y
темною	tʲ e m n ʌ ju
темну	tʲ e m n u
темную	tʲ e m n u ju
темны	tʲ i m n y
темные	tʲ e m n y j ɪ
темный	tʲ e m n y j
темным	tʲ e m n y m
темными	tʲ e m n y mʲ ɪ
темных	tʲ e m n y x
темнять	tʲ i m nʲ ɑ tʲ
темой	tʲ e m ʌ j
темп	tʲ e m p
темпа	tʲ e m p a
темпе	tʲ e mʲ pʲ i
темперамент	tʲ i mʲ pʲ i r ɑ mʲ i n t
темперамента	tʲ i mʲ pʲ i r ɑ mʲ i n t a
темпераменте	tʲ i mʲ pʲ i r ɑ mʲ i n tʲ i
темпераментов	tʲ i mʲ pʲ i r ɑ mʲ i n t ʌ f
темпераментом	tʲ i mʲ pʲ i r ɑ mʲ i n t ʌ m
темпераменту	tʲ i mʲ pʲ i r ɑ mʲ i n t u
темпераменты	tʲ i mʲ pʲ i r ɑ mʲ i n t y
температура	tʲ i mʲ pʲ i r a t u r a
температурой	tʲ i mʲ pʲ i r a t u r ʌ j
температуру	tʲ i mʲ pʲ i r a t u r u
тему	tʲ e m u
темы	tʲ e m y
темь	tʲ e mʲ
темя	tʲ e mʲ ʌ
тенгеринами	tʲ i n ɡʲ i rʲ i n ʌ mʲ ɪ
тенгинском	tʲ i n ɡʲ i n s k ʌ m
тенденцией	tʲ i n dʲ e n ts y j i j
тенденции	tʲ i n dʲ e n ts y ɪ
тенденций	tʲ i n dʲ e n ts y j
тенденциозно	tʲ i n dʲ i n ts y o z n ʌ
тенденциозного	tʲ i n dʲ i n ts y ʌ z n ʌ v ʌ
тенденциозное	tʲ i n dʲ i n ts y ʌ z n ʌ j ɪ
тенденциозной	tʲ i n dʲ i n ts y ʌ z n ʌ j
тенденциознокрасиво	tʲ i n dʲ i n ts y ʌ z n o k r ʌ sʲ i v ʌ
тенденциозности	tʲ i n dʲ i n ts y o z n ʌ sʲ tʲ ɪ
тенденциозность	tʲ i n dʲ i n ts y ʌ z n ʌ s tʲ
тенденцию	tʲ i n dʲ e n ts y ju
тенденция	tʲ i n dʲ e n ts y ja
теневой	tʲ i nʲ i v o j
теневые	tʲ i nʲ i v y j ɪ
теневыми	tʲ i nʲ i v y mʲ ɪ
теней	tʲ i nʲ e j
тени	tʲ e nʲ ɪ
тенистое	tʲ i nʲ i s t ʌ j ɪ
тенистой	tʲ i nʲ i s t ʌ j
тенистый	tʲ i nʲ i s t y j
теннис	tʲ e n nʲ i s
тенора	tʲ i n o r a
теноре	tʲ e n ʌ rʲ i
тенорком	tʲ i n ʌ r k o m
тень	tʲ e n
теньер	tʲ e n j j i r
теньера	tʲ i n j j e r a
теньеровская	tʲ i n j j i r o f s k ʌ ja
тенью	tʲ e n j ju
тенями	tʲ i nʲ ɑ mʲ ɪ
теодор	tʲ i ʌ d o r
теодором	tʲ i ʌ d o r ʌ m
теоретизирует	tʲ i ʌ rʲ i tʲ i ʑ i r u j i t
теоретизируют	tʲ i ʌ rʲ i tʲ i ʑ i r u ju t
теоретика	tʲ i ʌ rʲ e tʲ i k a
теоретикам	tʲ i ʌ rʲ e tʲ i k ʌ m
теоретики	tʲ i ʌ rʲ e tʲ i kʲ ɪ
теоретиком	tʲ i ʌ rʲ e tʲ i k ʌ m
теоретическая	tʲ i ʌ rʲ i tʲ i tʃʲ i s k ʌ ja
теоретически	tʲ i ʌ rʲ i tʲ i tʃʲ i s kʲ ɪ
теоретические	tʲ i ʌ rʲ i tʲ i tʃʲ i s kʲ i j ɪ
теоретический	tʲ i ʌ rʲ i tʲ i tʃʲ i s kʲ i j
теоретическим	tʲ i ʌ rʲ i tʲ i tʃʲ i s kʲ i m
теоретических	tʲ i ʌ rʲ i tʲ i tʃʲ i s kʲ i x
теоретического	tʲ i ʌ rʲ i tʲ i tʃʲ i s k ʌ v ʌ
теоретическое	tʲ i ʌ rʲ i tʲ i tʃʲ i s k ʌ j ɪ
теоретической	tʲ i ʌ rʲ i tʲ i tʃʲ i s k ʌ j
теоретическом	tʲ i ʌ rʲ i tʲ i tʃʲ i s k ʌ m
теорией	tʲ i o rʲ i j i j
теории	tʲ i o rʲ i ɪ
теорий	tʲ i o rʲ i j
теорию	tʲ i o rʲ i ju
теория	tʲ i o rʲ i ja
теориями	tʲ i o rʲ i ja mʲ ɪ
теофиля	tʲ i ʌ fʲ i ɭʲ ʌ
тепел	tʲ e pʲ i ɭ
теперешнего	tʲ i pʲ e rʲ i ʃ nʲ i v ʌ
теперешнее	tʲ i pʲ e rʲ i ʃ nʲ i j ɪ
теперешней	tʲ i pʲ e rʲ i ʃ nʲ i j
теперешнем	tʲ i pʲ e rʲ i ʃ nʲ i m
теперешние	tʲ i pʲ e rʲ i ʃ nʲ i j ɪ
теперешний	tʲ i pʲ e rʲ i ʃ nʲ i j
теперешним	tʲ i pʲ e rʲ i ʃ nʲ i m
теперешнюю	tʲ i pʲ e rʲ i ʃ nʲ u" ju
теперешняя	tʲ i pʲ e rʲ i ʃ nʲ ʌ ja
теперича	tʲ i pʲ e rʲ i tʃʲ ʌ
теперь	tʲ i pʲ e r ɪ^
тепла	tʲ i p ɭ ɑ
теплая	tʲ e p ɭ ʌ ja
тепле	tʲ i p ɭʲ e
теплее	tʲ i p ɭʲ e j ɪ
теплей	tʲ i p ɭʲ e j
тепленькая	tʲ e p ɭʲ i n k ʌ ja
тепленький	tʲ e p ɭʲ i n kʲ i j
тепленько	tʲ i p ɭʲ e n k ʌ
тепленького	tʲ e p ɭʲ i n k ʌ v ʌ
тепленькое	tʲ e p ɭʲ i n k ʌ j ɪ
теплилась	tʲ e p ɭʲ i ɭ ʌ sʲ
теплится	tʲ e p ɭʲ i ts ʌ
теплице	tʲ i p ɭʲ i ts y
теплицы	tʲ i p ɭʲ i ts y
тепло	tʲ i p ɭ o
теплого	tʲ e p ɭ ʌ v ʌ
теплое	tʲ e p ɭ ʌ j ɪ
теплой	tʲ e p ɭ ʌ j
теплом	tʲ e p ɭ ʌ m
теплому	tʲ e p ɭ ʌ m u
теплота	tʲ i p ɭ ʌ t ɑ
теплотой	tʲ i p ɭ ʌ t o j
теплоту	tʲ i p ɭ ʌ t u
теплоты	tʲ i p ɭ ʌ t y
теплу	tʲ i p ɭ u
теплую	tʲ e p ɭ u ju
теплы	tʲ e p ɭ y
теплые	tʲ e p ɭ y j ɪ
теплый	tʲ e p ɭ y j
теплым	tʲ e p ɭ y m
теплыми	tʲ e p ɭ y mʲ ɪ
теплыни	tʲ i p ɭ y nʲ ɪ
теплых	tʲ e p ɭ y x
теплятся	tʲ e p ɭʲ ʌ ts ʌ
теплящихся	tʲ e p ɭʲ ʌ ɕ i x sʲ ʌ
тер	tʲ e r
терапии	tʲ i r a pʲ i ɪ
терек	tʲ e rʲ i k
тереке	tʲ e rʲ i kʲ i
терем	tʲ e rʲ i m
тереме	tʲ e rʲ i mʲ i
терему	tʲ i rʲ e m u
терентий	tʲ i rʲ e n tʲ i j
терентьич	tʲ i rʲ e n tʲ j i tʃʲ
тереть	tʲ i rʲ e tʲ
терешка	tʲ i rʲ e ʃ k a
терешки	tʲ i rʲ e ʃ kʲ ɪ
терешку	tʲ i rʲ e ʃ k u
терзавший	tʲ i r z ɑ f ʃ y j
терзаем	tʲ i r z ɑ j i m
терзает	tʲ i r z ɑ j i t
терзаете	tʲ i r z ɑ j i tʲ i
терзается	tʲ i r z ɑ j i ts ʌ
терзайся	tʲ i r z ɑ j sʲ ʌ
терзал	tʲ i r z ɑ ɭ
терзала	tʲ i r z ɑ ɭ a
терзалась	tʲ i r z ɑ ɭ ʌ sʲ
терзали	tʲ i r z ɑ ɭʲ ɪ
терзались	tʲ i r z ɑ ɭʲ i sʲ
терзался	tʲ i r z ɑ ɭ sʲ ʌ
терзание	tʲ i r z ɑ nʲ i j ɪ
терзания	tʲ i r z ɑ nʲ i ja
терзанья	tʲ i r z ɑ n j ja
терзаньях	tʲ i r z ɑ n j ja x
терзательство	tʲ i r z ɑ tʲ i ɭ s t v ʌ
терзать	tʲ i r z ɑ tʲ
терзаться	tʲ i r z ɑ tʲ sʲ ʌ
терзаюсь	tʲ i r z ɑ ju sʲ
терзают	tʲ i r z ɑ ju t
терзаются	tʲ i r z ɑ ju ts ʌ
терзающий	tʲ i r z ɑ ju ɕ i j
терзая	tʲ i r z ɑ ja
терзаясь	tʲ i r z ɑ ja sʲ
терла	tʲ e r ɭ a
терли	tʲ e r ɭʲ ɪ
термин	tʲ e r mʲ i n
термина	tʲ e r mʲ i n a
терминах	tʲ e r mʲ i n ʌ x
терминологией	tʲ i r mʲ i n ʌ ɭ o ɡʲ i j i j
терминологии	tʲ i r mʲ i n ʌ ɭ o ɡʲ i ɪ
терминология	tʲ i r mʲ i n ʌ ɭ o ɡʲ i ja
термину	tʲ e r mʲ i n u
термины	tʲ e r mʲ i n y
терн	tʲ e r n
тернием	tʲ i r nʲ i j i m
тернистый	tʲ i r nʲ i s t y j
терния	tʲ e r nʲ i ja
терновою	tʲ i r n o v ʌ ju
терпевшим	tʲ i r pʲ e f ʃ y m
терпел	tʲ i r pʲ e ɭ
терпела	tʲ i r pʲ e ɭ a
терпели	tʲ i r pʲ e ɭʲ ɪ
терпеливо	tʲ i r pʲ i ɭʲ i v ʌ
терпеливого	tʲ i r pʲ i ɭʲ i v ʌ v ʌ
терпеливой	tʲ i r pʲ i ɭʲ i v ʌ j
терпеливы	tʲ i r pʲ i ɭʲ i v y
терпеливый	tʲ i r pʲ i ɭʲ i v y j
терпеливым	tʲ i r pʲ i ɭʲ i v y m
терпелось	tʲ i r pʲ e ɭ ʌ sʲ
терпение	tʲ i r pʲ e nʲ i j ɪ
терпению	tʲ i r pʲ e nʲ i ju
терпения	tʲ i r pʲ e nʲ i ja
терпентина	tʲ i r pʲ i n tʲ i n a
терпенье	tʲ i r pʲ e n j j ɪ
терпеньем	tʲ i r pʲ e n j j i m
терпенья	tʲ i r pʲ e n j ja
терпеть	tʲ i r pʲ e tʲ
терпи	tʲ i r pʲ i
терпимо	tʲ i r pʲ i m ʌ
терпимое	tʲ i r pʲ i m ʌ j ɪ
терпимости	tʲ i r pʲ i m ʌ sʲ tʲ ɪ
терпимые	tʲ i r pʲ i m y j ɪ
терпимый	tʲ i r pʲ i m y j
терпит	tʲ e r pʲ i t
терпким	tʲ e r p kʲ i m
терпкого	tʲ e r p k ʌ v ʌ
терплю	tʲ i r p ɭʲ u"
терпсихоры	tʲ i r p sʲ i x ʌ r y
терпят	tʲ e r pʲ ʌ t
терпящим	tʲ e r pʲ ʌ ɕ i m
терраса	tʲ i r r ɑ s a
террасе	tʲ i r r ɑ sʲ i
террасу	tʲ i r r ɑ s u
террасы	tʲ i r r ɑ s y
террора	tʲ i r r o r a
терроре	tʲ i r r o rʲ i
терроризирована	tʲ i r r ʌ rʲ i ʑ i r ʌ v ʌ n a
терроризировать	tʲ i r r ʌ rʲ i ʑ i r ʌ v ʌ tʲ
террору	tʲ i r r o r u
тертуллиана	tʲ i r t u ɭ ɭʲ i ʌ n a
теряем	tʲ i rʲ ɑ j i m
теряет	tʲ i rʲ ɑ j i t
теряете	tʲ i rʲ ɑ j i tʲ i
теряется	tʲ i rʲ ɑ j i ts ʌ
теряй	tʲ i rʲ ɑ j
теряйте	tʲ i rʲ ɑ j tʲ i
терял	tʲ i rʲ ɑ ɭ
теряла	tʲ i rʲ ɑ ɭ a
теряли	tʲ i rʲ ɑ ɭʲ ɪ
терялись	tʲ i rʲ ɑ ɭʲ i sʲ
терялся	tʲ i rʲ ɑ ɭ sʲ ʌ
терять	tʲ i rʲ ɑ tʲ
теряться	tʲ i rʲ ɑ tʲ sʲ ʌ
теряю	tʲ i rʲ ɑ ju
теряют	tʲ i rʲ ɑ ju t
теряющиеся	tʲ i rʲ a ju ɕ i j i sʲ ʌ
теряя	tʲ i rʲ ɑ ja
теряясь	tʲ i rʲ ɑ ja sʲ
тес	tʲ e s
тесаного	tʲ e s ʌ n ʌ v ʌ
тесемками	tʲ i sʲ e m k ʌ mʲ ɪ
тесемку	tʲ i sʲ e m k u
тесен	tʲ e sʲ i n
тесная	tʲ e s n ʌ ja
теснее	tʲ i sʲ nʲ e j ɪ
теснилась	tʲ i sʲ nʲ i ɭ ʌ sʲ
теснили	tʲ i sʲ nʲ i ɭʲ ɪ
теснились	tʲ i sʲ nʲ i ɭʲ i sʲ
теснило	tʲ i sʲ nʲ i ɭ ʌ
теснилось	tʲ i sʲ nʲ i ɭ ʌ sʲ
теснился	tʲ i sʲ nʲ i ɭ sʲ ʌ
тесним	tʲ e sʲ nʲ i m
тесниной	tʲ i sʲ nʲ i n ʌ j
теснины	tʲ i sʲ nʲ i n y
теснит	tʲ i sʲ nʲ i t
теснится	tʲ i sʲ nʲ i ts ʌ
тесниться	tʲ i sʲ nʲ i tʲ sʲ ʌ
тесно	tʲ e s n ʌ
тесного	tʲ e s n ʌ v ʌ
тесное	tʲ e s n ʌ j ɪ
тесной	tʲ e s n ʌ j
тесном	tʲ e s n ʌ m
теснота	tʲ i s n ʌ t ɑ
тесноте	tʲ i s n ʌ tʲ e
теснотою	tʲ i s n o t ʌ ju
тесноту	tʲ i s n ʌ t u
тесноты	tʲ i s n ʌ t y
тесною	tʲ i s n o ju
тесную	tʲ e s n u ju
тесные	tʲ e s n y j ɪ
тесный	tʲ e s n y j
тесным	tʲ e s n y m
тесных	tʲ e s n y x
тесня	tʲ i sʲ nʲ ɑ
теснятся	tʲ i sʲ nʲ ɑ ts ʌ
теснящийся	tʲ i sʲ nʲ ɑ ɕ i j sʲ ʌ
тесовая	tʲ i s o v ʌ ja
тестю	tʲ ɛ sʲ tʲ u"
тестя	tʲ ɛ sʲ tʲ ʌ
тете	tʲ e tʲ i
тетенька	tʲ e tʲ i n k a
тетеньке	tʲ e tʲ i n kʲ i
тетенькой	tʲ e tʲ i n k ʌ j
тетерев	tʲ e tʲ i rʲ i f
тети	tʲ e tʲ ɪ
тетка	tʲ e t k a
теткам	tʲ e t k ʌ m
тетками	tʲ e t k ʌ mʲ ɪ
тетке	tʲ e t kʲ i
тетки	tʲ e t kʲ ɪ
теткин	tʲ e t kʲ i n
теткиной	tʲ i t kʲ i n ʌ j
теткином	tʲ i t kʲ i n ʌ m
теткину	tʲ i t kʲ i n u
теткой	tʲ e t k ʌ j
тетку	tʲ e t k u
тето	tʲ e t ʌ
теток	tʲ e t ʌ k
тетрадей	tʲ i t r ɑ dʲ i j
тетради	tʲ i t r ɑ dʲ ɪ
тетрадка	tʲ i t r ɑ d k a
тетрадке	tʲ i t r ɑ t kʲ i
тетрадки	tʲ i t r ɑ t kʲ ɪ
тетрадкой	tʲ i t r ɑ d k ʌ j
тетрадку	tʲ i t r ɑ d k u
тетрадь	tʲ i t r ɑ tʲ
тетрадью	tʲ i t r ɑ dʲ j ju
тетрадям	tʲ i t r ɑ dʲ ʌ m
тетрадями	tʲ i t r ɑ dʲ ʌ mʲ ɪ
тетрадях	tʲ i t r ɑ dʲ ʌ x
тетушек	tʲ i t u ʃ ɛ k
тетушка	tʲ e t u ʃ k a
тетушкам	tʲ i t u ʃ k ʌ m
тетушке	tʲ e t u ʃ kʲ i
тетушки	tʲ e t u ʃ kʲ ɪ
тетушкины	tʲ i t u ʃ kʲ i n y
тетушку	tʲ e t u ʃ k u
теть	tʲ e tʲ
тетя	tʲ e tʲ ʌ
тех	tʲ e x
техник	tʲ e x nʲ i k
техника	tʲ e x nʲ i k a
технике	tʲ e x nʲ i kʲ i
техники	tʲ e x nʲ i kʲ ɪ
техникой	tʲ e x nʲ i k ʌ j
технику	tʲ e x nʲ i k u
технические	tʲ i x nʲ i tʃʲ i s kʲ i j ɪ
технический	tʲ i x nʲ i tʃʲ i s kʲ i j
технических	tʲ i x nʲ i tʃʲ i s kʲ i x
технического	tʲ i x nʲ i tʃʲ i s k ʌ v ʌ
технической	tʲ i x nʲ i tʃʲ i s k ʌ j
техто	tʲ e x t ʌ
течение	tʲ i tʃʲ e nʲ i j ɪ
течении	tʲ i tʃʲ e nʲ i ɪ
течений	tʲ i tʃʲ e nʲ i j
течению	tʲ i tʃʲ e nʲ i ju
течения	tʲ i tʃʲ e nʲ i ja
течениям	tʲ i tʃʲ i nʲ i ja m
течениями	tʲ i tʃʲ e nʲ i ja mʲ ɪ
теченье	tʲ i tʃʲ e n j j ɪ
теченью	tʲ i tʃʲ e n j ju
течет	tʲ i tʃʲ e t
течь	tʲ e tʃʲ
теша	tʲ e ʃ a
тешат	tʲ e ʃ ʌ t
тешатся	tʲ e ʃ ʌ tʲ sʲ ʌ
тешил	tʲ e ʃ y ɭ
тешила	tʲ e ʃ y ɭ a
тешились	tʲ e ʃ y ɭʲ i sʲ
тешилось	tʲ e ʃ y ɭ ʌ sʲ
тешит	tʲ e ʃ y t
тешится	tʲ e ʃ y ts ʌ
тешить	tʲ e ʃ y tʲ
тешу	tʲ e ʃ u
ти	tʲ i
тиангдзи	tʲ i ɑ n ɡ dʲ ʑ ɪ
тиарой	tʲ i ɑ r ʌ j
тибо	tʲ i b ʌ
тигр	tʲ i ɡ r
тигра	tʲ i ɡ r a
тиграм	tʲ i ɡ r ʌ m
тиграх	tʲ i ɡ r ʌ x
тигрицы	tʲ i ɡ rʲ i ts y
тигров	tʲ i ɡ r ʌ f
тигром	tʲ i ɡ r ʌ m
тигры	tʲ i ɡ r y
тик	tʲ i k
тиканья	tʲ i k ʌ n j ja
тикают	tʲ i k a ju t
тиком	tʲ i k ʌ m
тилигульской	tʲ i ɭʲ i ɡ u ɭ s k ʌ j
тиликанье	tʲ i ɭʲ i k ʌ n j j ɪ
тильзитский	tʲ i ɭ ʑ i ts kʲ i j
тимофеевна	tʲ i m ʌ fʲ e j i v n a
тимофеевне	tʲ i m ʌ fʲ e j i v nʲ i
тимофеевной	tʲ i m ʌ fʲ e j i v n ʌ j
тимофеевну	tʲ i m ʌ fʲ e j i v n u
тимофеевны	tʲ i m ʌ fʲ e j i v n y
тимофей	tʲ i m ʌ fʲ e j
тимоха	tʲ i m o x a
тимохе	tʲ i m o x i
тимпаны	tʲ i m p ɑ n y
тине	tʲ i nʲ i
тину	tʲ i n u
тины	tʲ i n y
тип	tʲ i p
типа	tʲ i p a
типе	tʲ i pʲ i
типизацию	tʲ i pʲ i z ɑ ts y ju
типическое	tʲ i pʲ i tʃʲ i s k ʌ j ɪ
типическую	tʲ i pʲ i tʃʲ e s k u ju
типичная	tʲ i pʲ i tʃʲ n ʌ ja
типичнейшими	tʲ i pʲ i tʃʲ nʲ e j ʃ y mʲ ɪ
типичнейших	tʲ i pʲ i tʃʲ nʲ e j ʃ y x
типично	tʲ i pʲ i tʃʲ n ʌ
типичного	tʲ i pʲ i tʃʲ n ʌ v ʌ
типичной	tʲ i pʲ i ʃ n ʌ j
типичности	tʲ i pʲ i tʃʲ n ʌ sʲ tʲ ɪ
типичные	tʲ i pʲ i tʃʲ n y j ɪ
типичный	tʲ i pʲ i tʃʲ n y j
типичным	tʲ i pʲ i tʃʲ n y m
типичных	tʲ i pʲ i tʃʲ n y x
типов	tʲ i p ʌ f
типографии	tʲ i p ʌ ɡ r ɑ fʲ i ɪ
типом	tʲ i p ʌ m
типун	tʲ i p u n
типы	tʲ i p y
тирадой	tʲ i r ɑ d ʌ j
тираду	tʲ i r ɑ d u
тирады	tʲ i r ɑ d y
тиран	tʲ i r ɑ n
тирана	tʲ i r ɑ n a
тирании	tʲ i r a nʲ i ɪ
тиранил	tʲ i r ɑ nʲ i ɭ
тиранила	tʲ i r ɑ nʲ i ɭ a
тиранили	tʲ i r ɑ nʲ i ɭʲ ɪ
тиранию	tʲ i r a nʲ i ju
тирания	tʲ i r a nʲ i ja
тираном	tʲ i r ɑ n ʌ m
тиранством	tʲ i r ɑ n s t v ʌ m
тиранят	tʲ i r a nʲ ɑ t
тире	tʲ i rʲ i
тирольской	tʲ i r o ɭ s k ʌ j
тироля	tʲ i r o ɭʲ ʌ
тисках	tʲ i s k ɑ x
тиская	tʲ i s k ʌ ja
тисненными	tʲ i sʲ nʲ e n n y mʲ ɪ
тиснул	tʲ i s n u ɭ
тит	tʲ i t
тита	tʲ i t a
титан	tʲ i t ɑ n
титанамира	tʲ i t a n ɑ mʲ i r a
титаниды	tʲ i t a nʲ i d y
титанический	tʲ i t a nʲ i tʃʲ i s kʲ i j
титанической	tʲ i t a nʲ i tʃʲ i s k ʌ j
титанов	tʲ i t ɑ n ʌ f
титаны	tʲ i t ɑ n y
титити	tʲ i tʲ i tʲ ɪ
титом	tʲ i t ʌ m
титу	tʲ i t u
титул	tʲ i t u ɭ
титулов	tʲ i t u ɭ ʌ f
титулованному	tʲ i t u ɭ o v ʌ n n ʌ m u
титулованные	tʲ i t u ɭ o v ʌ n n y j ɪ
титулом	tʲ i t u ɭ ʌ m
тифлисский	tʲ i f ɭʲ i s s kʲ i j
тифом	tʲ i f ʌ m
тих	tʲ i x
тиха	tʲ i x ɑ
тихая	tʲ i x ʌ ja
тихеньким	tʲ i x e n kʲ i m
тихи	tʲ i x ɪ
тихие	tʲ i x i j ɪ
тихий	tʲ i x i j
тихим	tʲ i x i m
тихими	tʲ i x i mʲ ɪ
тихих	tʲ i x i x
тихо	tʲ i x ʌ
тиховейная	tʲ i x ʌ vʲ e j n ʌ ja
тихого	tʲ i x ʌ v ʌ
тихое	tʲ i x ʌ j ɪ
тихой	tʲ i x ʌ j
тихом	tʲ i x ʌ m
тихомолком	tʲ i x ʌ m o ɭ k ʌ m
тихому	tʲ i x ʌ m u
тихоныч	tʲ i x ʌ n y tʃʲ
тихонько	tʲ i x o n k ʌ
тихоня	tʲ i x o nʲ ʌ
тихоокая	tʲ i x ʌ o k ʌ ja
тихорецкой	tʲ i x ʌ rʲ e ts k ʌ j
тихости	tʲ i x o sʲ tʲ ɪ
тихоструйною	tʲ i x ʌ s t r u j n ʌ ju
тихость	tʲ i x o s tʲ
тихотихо	tʲ i x o tʲ i x ʌ
тихохонько	tʲ i x o x ʌ n k ʌ
тихою	tʲ i x ʌ ju
тихую	tʲ i x u ju
тициан	tʲ i ts y ʌ n
тишайший	tʲ i ʃ ɑ j ʃ y j
тише	tʲ i ʃ y
тиши	tʲ i ʃ i
тишина	tʲ i ʃ y n ɑ
тишине	tʲ i ʃ y nʲ e
тишину	tʲ i ʃ y n u
тишины	tʲ i ʃ y n y
тишком	tʲ i ʃ k o m
тишь	tʲ i ʃ
ткал	t k ɑ ɭ
тканей	t k ɑ nʲ i j
ткани	t k ɑ nʲ ɪ
ткань	t k ɑ n
тканью	t k ɑ n j ju
ткача	t k a tʃʲ ɑ
ткачей	t k ɑ tʃʲ i j
